Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Minimum Cost For Tickets,100.0,0.006747677199840635,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
MEDIUM,Adding Two Negabinary Numbers,100.0,0.0038149404643118474,https://leetcode.com/problems/adding-two-negabinary-numbers,"Array, Math"
MEDIUM,Minimum Number of Food Buckets to Feed the Hamsters,100.0,0.00484113520700564,https://leetcode.com/problems/minimum-number-of-food-buckets-to-feed-the-hamsters,"String, Dynamic Programming, Greedy"
MEDIUM,Reconstruct a 2-Row Binary Matrix,100.0,0.004924926168198504,https://leetcode.com/problems/reconstruct-a-2-row-binary-matrix,"Array, Greedy, Matrix"
MEDIUM,Accounts Merge,82.9,0.006188994327914749,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union-Find, Sorting"
EASY,Two Sum,75.7,0.00580095238786551,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Valid Parentheses,75.7,0.004472561161448614,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Simplify Path,75.7,0.005122124583086863,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Daily Temperatures,75.7,0.006905688097164086,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,House Robber,75.7,0.005350272910647792,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Repeated Substring Pattern,75.7,0.004865482308431229,https://leetcode.com/problems/repeated-substring-pattern,"String, String Matching, Z Algorithm, Knuth–Morris–Pratt Algorithm"
MEDIUM,Number of Steps to Reduce a Number in Binary Representation to One,65.7,0.006374802235557344,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one,"String, Bit Manipulation, Simulation"
MEDIUM,Subarray Sum Equals K,65.7,0.004798003185147457,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Jump Game II,65.7,0.004335944292113706,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Longest Palindromic Substring,65.7,0.0038471108019715737,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
