Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.00580095238786551,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Valid Parentheses,80.5,0.004472561161448614,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Longest Substring Without Repeating Characters,80.5,0.003977943136223824,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Merge Sorted Array,73.6,0.0055528006725092515,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Best Time to Buy and Sell Stock,73.6,0.005725131018831735,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Valid Palindrome,73.6,0.005407045695977512,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
EASY,Reverse String,63.9,0.008119736766942312,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
HARD,Department Top Three Salaries,63.9,0.006139898936478745,https://leetcode.com/problems/department-top-three-salaries,Database
MEDIUM,Second Highest Salary,63.9,0.004798842844276365,https://leetcode.com/problems/second-highest-salary,Database
EASY,Missing Number,63.9,0.0072516587851074055,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
MEDIUM,Maximum Subarray,63.9,0.005373544916094741,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Longest Palindromic Substring,63.9,0.0038471108019715737,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Palindromic Substrings,63.9,0.007312519405862714,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
EASY,Palindrome Number,63.9,0.006087452653515256,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Reverse Words in a String,63.9,0.005753052888006745,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
