Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Find Candidates for Data Scientist Position,100.0,0.007545501153550372,https://leetcode.com/problems/find-candidates-for-data-scientist-position,Database
HARD,Maximize Items,100.0,0.007461669505962522,https://leetcode.com/problems/maximize-items,Database
HARD,Subarrays with K Different Integers,87.2,0.006886164041538308,https://leetcode.com/problems/subarrays-with-k-different-integers,"Array, Hash Table, Sliding Window, Counting"
MEDIUM,Minimum Time to Repair Cars,77.1,0.005947501571809228,https://leetcode.com/problems/minimum-time-to-repair-cars,"Array, Binary Search"
MEDIUM,Jump Game,77.1,0.004138483194849731,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Longest Substring Without Repeating Characters,77.1,0.003977943136223824,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Maximum Product Subarray,69.9,0.003689222184060095,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
HARD,Trapping Rain Water,69.9,0.006802842740558903,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Jump Game II,69.9,0.004335944292113706,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Group Anagrams,69.9,0.007312899263058849,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Longest Palindromic Substring,69.9,0.0038471108019715737,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Subarray Sums Divisible by K,69.9,0.005664313184377947,https://leetcode.com/problems/subarray-sums-divisible-by-k,"Array, Hash Table, Prefix Sum"
HARD,Minimum Cost to Make Array Equal,59.9,0.0046892037983929874,https://leetcode.com/problems/minimum-cost-to-make-array-equal,"Array, Binary Search, Greedy, Sorting, Prefix Sum"
MEDIUM,Next Permutation,59.9,0.004595885374911035,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
HARD,Chalkboard XOR Game,59.9,0.006696989590171621,https://leetcode.com/problems/chalkboard-xor-game,"Array, Math, Bit Manipulation, Brainteaser, Game Theory, Zero-Sum Game, Impartial Game"
MEDIUM,Beautiful Arrangement,59.9,0.006492713991275868,https://leetcode.com/problems/beautiful-arrangement,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
EASY,Isomorphic Strings,59.9,0.0048921184586472,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
MEDIUM,Number of Islands,59.9,0.006496039969534479,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Koko Eating Bananas,59.9,0.005039596312916795,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Edit Distance,59.9,0.006111944121946519,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,Container With Most Water,59.9,0.00606482478622991,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Longest Common Prefix,59.9,0.004818721754065003,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Two Sum,59.9,0.00580095238786551,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Minimum Possible Integer After at Most K Adjacent Swaps On Digits,59.9,0.0041809366939118,https://leetcode.com/problems/minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits,"String, Greedy, Binary Indexed Tree, Segment Tree"
HARD,Best Time to Buy and Sell Stock IV,59.9,0.005104109660612889,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,"Array, Dynamic Programming"
HARD,Jump Game IV,59.9,0.005107222178072051,https://leetcode.com/problems/jump-game-iv,"Array, Hash Table, Breadth-First Search"
MEDIUM,Sort Colors,59.9,0.007016877707390398,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting, Quicksort, Bubble Sort"
MEDIUM,Decode String,59.9,0.006309032512604954,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
