Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.0058009546124321455,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Number of Islands,100.0,0.006496040637974149,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Generate Parentheses,100.0,0.007906614143132156,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
EASY,Valid Parentheses,91.7,0.00447256235432388,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Merge Two Sorted Lists,91.7,0.006874747676584544,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Longest Palindromic Substring,91.7,0.003847112218768729,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Longest Increasing Subsequence,91.7,0.005984856189530526,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming, Longest Increasing Subsequence"
MEDIUM,Decode String,80.0,0.006309038049576661,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Container With Most Water,80.0,0.006064825132075551,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Maximum Subarray,80.0,0.0053735433346384556,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,N-Queens,80.0,0.007626976065450083,https://leetcode.com/problems/n-queens,"Array, Backtracking, Algorithm X"
EASY,Linked List Cycle,80.0,0.005490607925514946,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers, Floyd's Cycle Finding Algorithm"
HARD,Trapping Rain Water,80.0,0.0068028473122123435,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
