Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Minimum Number of Visited Cells in a Grid,100.0,0.002414294738051031,https://leetcode.com/problems/minimum-number-of-visited-cells-in-a-grid,"Array, Dynamic Programming, Stack, Breadth-First Search, Union-Find, Heap (Priority Queue), Matrix, Monotonic Stack"
MEDIUM,Maximum Binary String After Change,100.0,0.004787598747950515,https://leetcode.com/problems/maximum-binary-string-after-change,"String, Greedy"
EASY,Two Sum,82.9,0.0058009546124321455,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Number of Islands,82.9,0.006496040637974149,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Generate Parentheses,82.9,0.007906614143132156,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
EASY,Valid Parentheses,75.7,0.00447256235432388,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Merge Two Sorted Lists,75.7,0.006874747676584544,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Longest Palindromic Substring,75.7,0.003847112218768729,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Longest Increasing Subsequence,75.7,0.005984856189530526,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming, Longest Increasing Subsequence"
MEDIUM,Decode String,65.7,0.006309038049576661,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Maximum Subarray,65.7,0.0053735433346384556,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,N-Queens,65.7,0.007626976065450083,https://leetcode.com/problems/n-queens,"Array, Backtracking, Algorithm X"
HARD,Trapping Rain Water,65.7,0.0068028473122123435,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Container With Most Water,65.7,0.006064825132075551,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Linked List Cycle,65.7,0.005490607925514946,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers, Floyd's Cycle Finding Algorithm"
MEDIUM,Top K Frequent Elements,65.7,0.006713892435393438,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
EASY,Single Number,65.7,0.007815793420536994,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
