Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Detect Pattern of Length M Repeated K or More Times,100.0,0.004417411347193385,https://leetcode.com/problems/detect-pattern-of-length-m-repeated-k-or-more-times,"Array, Enumeration"
EASY,Convert Integer to the Sum of Two No-Zero Integers,100.0,0.0059154800617071575,https://leetcode.com/problems/convert-integer-to-the-sum-of-two-no-zero-integers,Math
HARD,Maximum Score From Grid Operations,100.0,0.006421845093785888,https://leetcode.com/problems/maximum-score-from-grid-operations,"Array, Dynamic Programming, Matrix, Prefix Sum"
HARD,Add Edges to Make Degrees of All Nodes Even,97.1,0.0036939816092621913,https://leetcode.com/problems/add-edges-to-make-degrees-of-all-nodes-even,"Hash Table, Graph Theory"
HARD,Longest Path With Different Adjacent Characters,97.1,0.005401359248323351,https://leetcode.com/problems/longest-path-with-different-adjacent-characters,"Array, String, Tree, Depth-First Search, Graph Theory, Topological Sort"
MEDIUM,Maximum Total Importance of Roads,97.1,0.006913153411339334,https://leetcode.com/problems/maximum-total-importance-of-roads,"Greedy, Graph Theory, Sorting, Heap (Priority Queue)"
EASY,Number of Steps to Reduce a Number to Zero,97.1,0.008589094147723767,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-to-zero,"Math, Bit Manipulation"
EASY,Maximum 69 Number,97.1,0.008457796795235157,https://leetcode.com/problems/maximum-69-number,"Math, Greedy"
MEDIUM,Apply Operations to Make All Array Elements Equal to Zero,97.1,0.0033726312869501902,https://leetcode.com/problems/apply-operations-to-make-all-array-elements-equal-to-zero,"Array, Prefix Sum"
MEDIUM,Largest Combination With Bitwise AND Greater Than Zero,97.1,0.00807306553825184,https://leetcode.com/problems/largest-combination-with-bitwise-and-greater-than-zero,"Array, Hash Table, Bit Manipulation, Counting"
MEDIUM,Count Unguarded Cells in the Grid,97.1,0.0069157652042638705,https://leetcode.com/problems/count-unguarded-cells-in-the-grid,"Array, Matrix, Simulation"
EASY,Longest Common Prefix,62.6,0.004818721224905541,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
HARD,Text Justification,62.6,0.0051897776670601515,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Design Memory Allocator,62.6,0.005055772660014417,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
EASY,Shortest Word Distance,62.6,0.006638139688791753,https://leetcode.com/problems/shortest-word-distance,"Array, String"
HARD,Block Placement Queries,62.6,0.004141530323533029,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree, Ordered Set"
