Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Merge Intervals,100.0,0.005257640819791322,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
HARD,Find Median from Data Stream,96.9,0.005487679835331043,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
EASY,Range Addition II,96.9,0.005913189745665178,https://leetcode.com/problems/range-addition-ii,"Array, Math"
MEDIUM,Basic Calculator II,93.3,0.004708547618208222,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Find Peak Element,93.3,0.0047140549633639785,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Insert Delete GetRandom O(1),89.0,0.005548639006404768,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Design Snake Game,83.8,0.004008079329759114,https://leetcode.com/problems/design-snake-game,"Array, Hash Table, Design, Queue, Simulation"
MEDIUM,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,83.8,0.004152480386127728,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts,"Array, Greedy, Sorting"
EASY,1-bit and 2-bit Characters,77.0,0.004969540237070006,https://leetcode.com/problems/1-bit-and-2-bit-characters,Array
MEDIUM,Minimum Number of Steps to Make Two Strings Anagram,67.5,0.008258009607201073,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table, String, Counting"
EASY,Palindrome Linked List,67.5,0.0058607974134847855,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Course Schedule,67.5,0.005204027808726214,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
