Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Range Addition II,100.0,0.005913189745665178,https://leetcode.com/problems/range-addition-ii,"Array, Math"
HARD,Find Median from Data Stream,91.1,0.005487679835331043,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
EASY,Palindrome Linked List,91.1,0.0058607974134847855,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
HARD,Merge k Sorted Lists,88.8,0.0060293913261848684,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, Tournament Sort"
MEDIUM,Merge Intervals,88.8,0.005257640819791322,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Fraction to Recurring Decimal,88.8,0.0031256555608260234,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
HARD,Stickers to Spell Word,88.8,0.005110706640330104,https://leetcode.com/problems/stickers-to-spell-word,"Array, Hash Table, String, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask"
MEDIUM,Fraction Addition and Subtraction,86.2,0.006656669888377206,https://leetcode.com/problems/fraction-addition-and-subtraction,"Math, String, Simulation, Euclidean Algorithm, Greatest Common Divisor"
MEDIUM,Find the Derangement of An Array,86.2,0.004157464412521581,https://leetcode.com/problems/find-the-derangement-of-an-array,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Find Peak Element,79.9,0.0047140549633639785,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Basic Calculator II,79.9,0.004708547618208222,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Insert Delete GetRandom O(1),75.9,0.005548639006404768,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,71.0,0.004152480386127728,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts,"Array, Greedy, Sorting"
MEDIUM,Design Snake Game,71.0,0.004008079329759114,https://leetcode.com/problems/design-snake-game,"Array, Hash Table, Design, Queue, Simulation"
EASY,1-bit and 2-bit Characters,64.7,0.004969540237070006,https://leetcode.com/problems/1-bit-and-2-bit-characters,Array
MEDIUM,Minimum Number of Steps to Make Two Strings Anagram,55.9,0.008258009607201073,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table, String, Counting"
MEDIUM,Course Schedule,55.9,0.005204027808726214,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
