Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Reach a Number,100.0,0.004554043273008655,https://leetcode.com/problems/reach-a-number,"Math, Binary Search"
HARD,Cherry Pickup,93.1,0.0040270487618501005,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
HARD,Strange Printer,88.7,0.0060980229188425834,https://leetcode.com/problems/strange-printer,"String, Dynamic Programming"
HARD,Frog Position After T Seconds,83.3,0.00387813571172769,https://leetcode.com/problems/frog-position-after-t-seconds,"Tree, Depth-First Search, Breadth-First Search, Graph Theory"
HARD,Zuma Game,83.3,0.0029359534480810517,https://leetcode.com/problems/zuma-game,"String, Dynamic Programming, Stack, Breadth-First Search, Memoization"
HARD,Critical Connections in a Network,76.4,0.006037233009194338,https://leetcode.com/problems/critical-connections-in-a-network,"Depth-First Search, Graph Theory, Biconnected Component, Bridge (Graph)"
MEDIUM,Partition Labels,66.7,0.008200887958439025,https://leetcode.com/problems/partition-labels,"Hash Table, Two Pointers, String, Greedy"
HARD,Maximum Number of Robots Within Budget,66.7,0.0039010977694478198,https://leetcode.com/problems/maximum-number-of-robots-within-budget,"Array, Binary Search, Queue, Sliding Window, Heap (Priority Queue), Prefix Sum, Monotonic Queue"
MEDIUM,Redundant Connection,66.7,0.006808046845934029,https://leetcode.com/problems/redundant-connection,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
HARD,Longest Valid Parentheses,66.7,0.00395033008997663,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack, Bracket Sequences"
HARD,Trapping Rain Water,66.7,0.0068028473122123435,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Koko Eating Bananas,66.7,0.005039591889336592,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
HARD,Lexicographically Maximum MEX Array,66.7,0.005711650347665674,https://leetcode.com/problems/lexicographically-maximum-mex-array,"Array, Hash Table, Greedy, Queue"
