Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Lemonade Change,100.0,0.0059394486094228125,https://leetcode.com/problems/lemonade-change,"Array, Greedy"
HARD,Palindrome Partitioning II,88.4,0.003774276464475683,https://leetcode.com/problems/palindrome-partitioning-ii,"String, Dynamic Programming"
HARD,Frog Jump,88.4,0.004754533149282335,https://leetcode.com/problems/frog-jump,"Array, Dynamic Programming"
EASY,Climbing Stairs,80.2,0.005428138809245914,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
HARD,Longest Increasing Path in a Matrix,80.2,0.005695053990694935,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Memoization, Matrix, Directed Acyclic Graph"
MEDIUM,Maximum Bags With Full Capacity of Rocks,80.2,0.006825871397719621,https://leetcode.com/problems/maximum-bags-with-full-capacity-of-rocks,"Array, Greedy, Sorting"
MEDIUM,Best Time to Buy and Sell Stock II,80.2,0.007150177123366825,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Decode Ways,80.2,0.00384457632780314,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Maximum Subarray,80.2,0.0053735433346384556,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Best Time to Buy and Sell Stock,80.2,0.005725129945966021,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Two Sum,68.6,0.0058009546124321455,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Find Peak Element,68.6,0.0047140549633639785,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,House Robber,68.6,0.005350270641637675,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Sliding Subarray Beauty,68.6,0.0037643618545192296,https://leetcode.com/problems/sliding-subarray-beauty,"Array, Hash Table, Sliding Window"
MEDIUM,Best Time to Buy and Sell Stock with Transaction Fee,68.6,0.0072482399320804155,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee,"Array, Dynamic Programming, Greedy"
MEDIUM,Merge Intervals,68.6,0.005257640819791322,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Last Stone Weight II,68.6,0.006056608358629438,https://leetcode.com/problems/last-stone-weight-ii,"Array, Dynamic Programming, Knapsack Problem, 0-1 Knapsack"
MEDIUM,Container With Most Water,68.6,0.006064825132075551,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
HARD,Minimum Number of Refueling Stops,68.6,0.004177347167735317,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
MEDIUM,Frequency of the Most Frequent Element,68.6,0.004512506450952909,https://leetcode.com/problems/frequency-of-the-most-frequent-element,"Array, Binary Search, Greedy, Sliding Window, Sorting, Prefix Sum"
MEDIUM,Minimum Number of Swaps to Make the String Balanced,68.6,0.007804381096665481,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced,"Two Pointers, String, Stack, Greedy, Bracket Sequences"
HARD,Best Time to Buy and Sell Stock IV,68.6,0.00510412263891224,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,"Array, Dynamic Programming"
HARD,Candy,68.6,0.004904701554330701,https://leetcode.com/problems/candy,"Array, Greedy"
EASY,Split a String in Balanced Strings,68.6,0.00875707308583425,https://leetcode.com/problems/split-a-string-in-balanced-strings,"String, Greedy, Counting"
HARD,Stone Game IV,68.6,0.006519294494111938,https://leetcode.com/problems/stone-game-iv,"Math, Dynamic Programming, Minimax, Game Theory, Nim Game, Sprague–Grundy Theorem, Zero-Sum Game"
HARD,Trapping Rain Water,68.6,0.0068028473122123435,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Count of Range Sum,68.6,0.00396135774266334,https://leetcode.com/problems/count-of-range-sum,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set, Treap"
MEDIUM,Maximum Product Subarray,68.6,0.003689223702817537,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
HARD,Best Time to Buy and Sell Stock III,68.6,0.005451242487723158,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,"Array, Dynamic Programming"
MEDIUM,Letter Combinations of a Phone Number,68.6,0.006665996653156363,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,68.6,0.005791905883182969,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
MEDIUM,Minimum Moves to Equal Array Elements,68.6,0.005901813995165458,https://leetcode.com/problems/minimum-moves-to-equal-array-elements,"Array, Math"
EASY,Minimum Cost to Move Chips to The Same Position,68.6,0.007313126145009821,https://leetcode.com/problems/minimum-cost-to-move-chips-to-the-same-position,"Array, Math, Greedy"
