Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.0058009546124321455,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Lemonade Change,100.0,0.0059394486094228125,https://leetcode.com/problems/lemonade-change,"Array, Greedy"
MEDIUM,Second Highest Salary,94.3,0.004798851803990148,https://leetcode.com/problems/second-highest-salary,Database
MEDIUM,Merge Intervals,94.3,0.005257640819791322,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
HARD,Frog Jump,94.3,0.004754533149282335,https://leetcode.com/problems/frog-jump,"Array, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,87.4,0.003977943716823733,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Best Time to Buy and Sell Stock,87.4,0.005725129945966021,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Climbing Stairs,87.4,0.005428138809245914,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Koko Eating Bananas,87.4,0.005039591889336592,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Edit Distance,87.4,0.006111947167830661,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,House Robber,87.4,0.005350270641637675,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
HARD,Find the Number of Subsequences With Equal GCD,87.4,0.006629631774448406,https://leetcode.com/problems/find-the-number-of-subsequences-with-equal-gcd,"Array, Math, Dynamic Programming, Number Theory, Euclidean Algorithm, Greatest Common Divisor"
HARD,Palindrome Partitioning II,87.4,0.003774276464475683,https://leetcode.com/problems/palindrome-partitioning-ii,"String, Dynamic Programming"
MEDIUM,Maximum Subarray,87.4,0.0053735433346384556,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Best Time to Buy and Sell Stock II,87.4,0.007150177123366825,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
EASY,Move Zeroes,78.5,0.006426542848126944,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Container With Most Water,78.5,0.006064825132075551,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Palindrome Partitioning,78.5,0.007450501967476261,https://leetcode.com/problems/palindrome-partitioning,"String, Dynamic Programming, Backtracking"
MEDIUM,Peak Index in a Mountain Array,78.5,0.0066703889966037025,https://leetcode.com/problems/peak-index-in-a-mountain-array,"Array, Binary Search, Ternary Search"
HARD,Trapping Rain Water,78.5,0.0068028473122123435,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Longest Increasing Path in a Matrix,78.5,0.005695053990694935,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Memoization, Matrix, Directed Acyclic Graph"
MEDIUM,Maximum Bags With Full Capacity of Rocks,78.5,0.006825871397719621,https://leetcode.com/problems/maximum-bags-with-full-capacity-of-rocks,"Array, Greedy, Sorting"
MEDIUM,Decode Ways,78.5,0.00384457632780314,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Maximum Product Subarray,78.5,0.003689223702817537,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Number of Islands,66.0,0.006496040637974149,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Valid Palindrome,66.0,0.005407046320216325,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Rotting Oranges,66.0,0.005927616786771823,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
EASY,Valid Anagram,66.0,0.006853253496884522,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
EASY,Reverse Linked List,66.0,0.008094198446281505,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Remove Duplicates from Sorted Array,66.0,0.0063563061696829395,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Minimum Path Sum,66.0,0.006874287204396004,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
MEDIUM,Minimum Total Cost to Process All Elements,66.0,0.0024853205422189478,https://leetcode.com/problems/minimum-total-cost-to-process-all-elements,
HARD,Number of Flowers in Full Bloom,66.0,0.005810244828825129,https://leetcode.com/problems/number-of-flowers-in-full-bloom,"Array, Hash Table, Binary Search, Sorting, Prefix Sum, Ordered Set"
MEDIUM,Next Permutation,66.0,0.004595885374911035,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
EASY,Concatenation of Array,66.0,0.009007576882255315,https://leetcode.com/problems/concatenation-of-array,"Array, Simulation"
MEDIUM,Rotate Array,66.0,0.0045320063870795835,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Find Peak Element,66.0,0.0047140549633639785,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,3Sum,66.0,0.003969308370711783,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Sliding Subarray Beauty,66.0,0.0037643618545192296,https://leetcode.com/problems/sliding-subarray-beauty,"Array, Hash Table, Sliding Window"
MEDIUM,Best Time to Buy and Sell Stock with Transaction Fee,66.0,0.0072482399320804155,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee,"Array, Dynamic Programming, Greedy"
MEDIUM,Last Stone Weight II,66.0,0.006056608358629438,https://leetcode.com/problems/last-stone-weight-ii,"Array, Dynamic Programming, Knapsack Problem, 0-1 Knapsack"
MEDIUM,Longest Palindromic Substring,66.0,0.003847112218768729,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
HARD,Minimum Number of Refueling Stops,66.0,0.004177347167735317,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
MEDIUM,Frequency of the Most Frequent Element,66.0,0.004512506450952909,https://leetcode.com/problems/frequency-of-the-most-frequent-element,"Array, Binary Search, Greedy, Sliding Window, Sorting, Prefix Sum"
MEDIUM,Minimum Number of Swaps to Make the String Balanced,66.0,0.007804381096665481,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced,"Two Pointers, String, Stack, Greedy, Bracket Sequences"
HARD,Best Time to Buy and Sell Stock IV,66.0,0.00510412263891224,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,"Array, Dynamic Programming"
MEDIUM,Delete Operation for Two Strings,66.0,0.0066143362562978945,https://leetcode.com/problems/delete-operation-for-two-strings,"String, Dynamic Programming, Longest Common Subsequence"
HARD,Best Time to Buy and Sell Stock III,66.0,0.005451242487723158,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,"Array, Dynamic Programming"
MEDIUM,Longest Repeating Character Replacement,66.0,0.006043034132148502,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
HARD,Candy,66.0,0.004904701554330701,https://leetcode.com/problems/candy,"Array, Greedy"
EASY,Split a String in Balanced Strings,66.0,0.00875707308583425,https://leetcode.com/problems/split-a-string-in-balanced-strings,"String, Greedy, Counting"
EASY,Maximize Sum Of Array After K Negations,66.0,0.005425233218321558,https://leetcode.com/problems/maximize-sum-of-array-after-k-negations,"Array, Greedy, Sorting"
HARD,Stone Game IV,66.0,0.006519294494111938,https://leetcode.com/problems/stone-game-iv,"Math, Dynamic Programming, Minimax, Game Theory, Nim Game, Sprague–Grundy Theorem, Zero-Sum Game"
HARD,Count of Range Sum,66.0,0.00396135774266334,https://leetcode.com/problems/count-of-range-sum,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set, Treap"
MEDIUM,Letter Combinations of a Phone Number,66.0,0.006665996653156363,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Continuous Subarray Sum,66.0,0.0031594585748565386,https://leetcode.com/problems/continuous-subarray-sum,"Array, Hash Table, Math, Prefix Sum, Pigeonhole Principle"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,66.0,0.005791905883182969,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
MEDIUM,Minimum Moves to Equal Array Elements,66.0,0.005901813995165458,https://leetcode.com/problems/minimum-moves-to-equal-array-elements,"Array, Math"
EASY,Minimum Cost to Move Chips to The Same Position,66.0,0.007313126145009821,https://leetcode.com/problems/minimum-cost-to-move-chips-to-the-same-position,"Array, Math, Greedy"
EASY,Maximum Units on a Truck,66.0,0.007516387875924586,https://leetcode.com/problems/maximum-units-on-a-truck,"Array, Greedy, Sorting"
