Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.0058009546124321455,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,96.5,0.003977943716823733,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Second Highest Salary,96.5,0.004798851803990148,https://leetcode.com/problems/second-highest-salary,Database
MEDIUM,Maximum Subarray,96.5,0.0053735433346384556,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Best Time to Buy and Sell Stock,92.6,0.005725129945966021,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Merge Intervals,88.1,0.005257640819791322,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
EASY,Lemonade Change,88.1,0.0059394486094228125,https://leetcode.com/problems/lemonade-change,"Array, Greedy"
MEDIUM,House Robber,82.8,0.005350270641637675,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Climbing Stairs,82.8,0.005428138809245914,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Move Zeroes,82.8,0.006426542848126944,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Number of Islands,82.8,0.006496040637974149,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Container With Most Water,82.8,0.006064825132075551,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Best Time to Buy and Sell Stock II,82.8,0.007150177123366825,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Koko Eating Bananas,82.8,0.005039591889336592,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
HARD,Frog Jump,82.8,0.004754533149282335,https://leetcode.com/problems/frog-jump,"Array, Dynamic Programming"
MEDIUM,Subarray Sum Equals K,76.3,0.004798004552813334,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Edit Distance,76.3,0.006111947167830661,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
HARD,Find the Number of Subsequences With Equal GCD,76.3,0.006629631774448406,https://leetcode.com/problems/find-the-number-of-subsequences-with-equal-gcd,"Array, Math, Dynamic Programming, Number Theory, Euclidean Algorithm, Greatest Common Divisor"
HARD,Palindrome Partitioning II,76.3,0.003774276464475683,https://leetcode.com/problems/palindrome-partitioning-ii,"String, Dynamic Programming"
MEDIUM,Decode Ways,76.3,0.00384457632780314,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Longest Palindromic Substring,67.9,0.003847112218768729,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Coin Change,67.9,0.004897333599858242,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
MEDIUM,Group Anagrams,67.9,0.007312901310317969,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Longest Common Prefix,67.9,0.004818721224905541,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Permutations,67.9,0.008226145453107911,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Rotting Oranges,67.9,0.005927616786771823,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Min Stack,67.9,0.005855044939254337,https://leetcode.com/problems/min-stack,"Stack, Design"
EASY,Remove Duplicates from Sorted Array,67.9,0.0063563061696829395,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Valid Anagram,67.9,0.006853253496884522,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Palindrome Partitioning,67.9,0.007450501967476261,https://leetcode.com/problems/palindrome-partitioning,"String, Dynamic Programming, Backtracking"
MEDIUM,Max Consecutive Ones III,67.9,0.00682766364941698,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Peak Index in a Mountain Array,67.9,0.0066703889966037025,https://leetcode.com/problems/peak-index-in-a-mountain-array,"Array, Binary Search, Ternary Search"
MEDIUM,Next Permutation,67.9,0.004595885374911035,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
HARD,Longest Increasing Path in a Matrix,67.9,0.005695053990694935,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Memoization, Matrix, Directed Acyclic Graph"
MEDIUM,Longest Repeating Character Replacement,67.9,0.006043034132148502,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
HARD,Trapping Rain Water,67.9,0.0068028473122123435,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Maximum Bags With Full Capacity of Rocks,67.9,0.006825871397719621,https://leetcode.com/problems/maximum-bags-with-full-capacity-of-rocks,"Array, Greedy, Sorting"
HARD,Best Time to Buy and Sell Stock III,67.9,0.005451242487723158,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,"Array, Dynamic Programming"
MEDIUM,Maximum Product Subarray,67.9,0.003689223702817537,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
HARD,Minimum Operations to Equalize Binary String,56.2,0.0045119538394019845,https://leetcode.com/problems/minimum-operations-to-equalize-binary-string,"Math, String, Breadth-First Search, Union-Find, Ordered Set"
MEDIUM,Integer to Roman,56.2,0.007149616997870125,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Reverse Integer,56.2,0.0032366171149908656,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,House Robber II,56.2,0.004540394651000133,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming"
MEDIUM,Bulb Switcher,56.2,0.005632894941131935,https://leetcode.com/problems/bulb-switcher,"Math, Brainteaser"
MEDIUM,Sort Colors,56.2,0.007016876308054372,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting, Quicksort, Bubble Sort"
MEDIUM,Maximum OR,56.2,0.0043697638994668695,https://leetcode.com/problems/maximum-or,"Array, Greedy, Bit Manipulation, Prefix Sum"
MEDIUM,Minimum Path Sum,56.2,0.006874287204396004,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
EASY,Valid Palindrome,56.2,0.005407046320216325,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
EASY,Search Insert Position,56.2,0.005201664659547298,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
MEDIUM,Course Schedule,56.2,0.005204027808726214,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
MEDIUM,Find First and Last Position of Element in Sorted Array,56.2,0.004950613165826725,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Spiral Matrix,56.2,0.005762711174821628,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Generate Parentheses,56.2,0.007906614143132156,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
MEDIUM,K-diff Pairs in an Array,56.2,0.004623785912770833,https://leetcode.com/problems/k-diff-pairs-in-an-array,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
EASY,Reverse Linked List,56.2,0.008094198446281505,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
