Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.0058009546124321455,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,91.5,0.003977943716823733,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Palindrome Number,81.3,0.006087450204378276,https://leetcode.com/problems/palindrome-number,Math
EASY,Best Time to Buy and Sell Stock,77.8,0.005725129945966021,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Gas Station,77.8,0.004855706572332899,https://leetcode.com/problems/gas-station,"Array, Greedy"
EASY,Valid Parentheses,75.9,0.00447256235432388,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
HARD,Find the Number of Subsequences With Equal GCD,75.9,0.006629631774448406,https://leetcode.com/problems/find-the-number-of-subsequences-with-equal-gcd,"Array, Math, Dynamic Programming, Number Theory, Euclidean Algorithm, Greatest Common Divisor"
MEDIUM,Subarray Sum Equals K,75.9,0.004798004552813334,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Eat Pizzas!,75.9,0.003386648923238347,https://leetcode.com/problems/eat-pizzas,"Array, Greedy, Sorting"
EASY,Transform Array by Parity,75.9,0.008989360372595253,https://leetcode.com/problems/transform-array-by-parity,"Array, Sorting, Counting"
HARD,Maximum Good Subtree Score,75.9,0.004405275171189449,https://leetcode.com/problems/maximum-good-subtree-score,"Array, Dynamic Programming, Bit Manipulation, Tree, Depth-First Search, Bitmask"
MEDIUM,Maximum Subarray,73.7,0.0053735433346384556,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,Maximize the Minimum Game Score,73.7,0.0025856921716054843,https://leetcode.com/problems/maximize-the-minimum-game-score,"Array, Binary Search, Greedy"
MEDIUM,Second Highest Salary,68.7,0.004798851803990148,https://leetcode.com/problems/second-highest-salary,Database
MEDIUM,Longest Palindromic Substring,68.7,0.003847112218768729,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
EASY,Valid Anagram,68.7,0.006853253496884522,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
EASY,Longest Common Prefix,65.7,0.004818721224905541,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,House Robber,65.7,0.005350270641637675,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Group Anagrams,65.7,0.007312901310317969,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,3Sum,62.2,0.003969308370711783,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Next Permutation,62.2,0.004595885374911035,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
EASY,Fibonacci Number,62.2,0.007452189681270596,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
MEDIUM,Rotate Image,62.2,0.008057026987892065,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
EASY,Remove Digit From Number to Maximize Result,62.2,0.004876906238599051,https://leetcode.com/problems/remove-digit-from-number-to-maximize-result,"String, Greedy, Enumeration"
HARD,Trapping Rain Water,58.1,0.0068028473122123435,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Merge Two Sorted Lists,58.1,0.006874747676584544,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Climbing Stairs,58.1,0.005428138809245914,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Coin Change,58.1,0.004897333599858242,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
MEDIUM,Generate Parentheses,58.1,0.007906614143132156,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
MEDIUM,4Sum,58.1,0.004145650592173318,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Container With Most Water,58.1,0.006064825132075551,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Move Zeroes,58.1,0.006426542848126944,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Range Sum Query - Immutable,58.1,0.007316412237677077,https://leetcode.com/problems/range-sum-query-immutable,"Array, Design, Prefix Sum"
MEDIUM,Top K Frequent Elements,58.1,0.006713892435393438,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Rotting Oranges,58.1,0.005927616786771823,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Longest Increasing Subsequence,58.1,0.005984856189530526,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming, Longest Increasing Subsequence"
EASY,Remove Duplicates from Sorted Array,53.1,0.0063563061696829395,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Merge Sorted Array,53.1,0.005552799447048253,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Product of Array Except Self,53.1,0.006916451481502173,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Kth Largest Element in an Array,53.1,0.006924372722589635,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Spiral Matrix,53.1,0.005762711174821628,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Reverse Words in a String,53.1,0.005753056699466389,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
EASY,Linked List Cycle,53.1,0.005490607925514946,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers, Floyd's Cycle Finding Algorithm"
HARD,Minimum Window Substring,53.1,0.004825496823426112,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
EASY,Binary Search,53.1,0.0061302849529222105,https://leetcode.com/problems/binary-search,"Array, Binary Search"
EASY,Implement Queue using Stacks,53.1,0.007023144221854087,https://leetcode.com/problems/implement-queue-using-stacks,"Stack, Design, Queue"
MEDIUM,Reverse Linked List II,53.1,0.0052176539295970045,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
MEDIUM,Add Two Numbers,46.7,0.004913307923045276,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Rotate Array,46.7,0.0045320063870795835,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
HARD,Find Building Where Alice and Bob Can Meet,46.7,0.00525709051653636,https://leetcode.com/problems/find-building-where-alice-and-bob-can-meet,"Array, Binary Search, Stack, Binary Indexed Tree, Segment Tree, Heap (Priority Queue), Monotonic Stack"
MEDIUM,Sort an Array,46.7,0.005579252072864468,https://leetcode.com/problems/sort-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Merge Sort, Bucket Sort, Radix Sort, Counting Sort"
MEDIUM,Longest Consecutive Sequence,46.7,0.004720831928117888,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Merge Intervals,46.7,0.005257640819791322,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Find Peak Element,46.7,0.0047140549633639785,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Linked List Cycle II,46.7,0.005888484315253444,https://leetcode.com/problems/linked-list-cycle-ii,"Hash Table, Linked List, Two Pointers, Floyd's Cycle Finding Algorithm"
MEDIUM,Search in Rotated Sorted Array,46.7,0.004546230051754311,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Set Matrix Zeroes,46.7,0.006348234285171382,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
HARD,Subarrays with K Different Integers,46.7,0.006886168876439561,https://leetcode.com/problems/subarrays-with-k-different-integers,"Array, Hash Table, Sliding Window, Counting"
EASY,Count Pairs That Form a Complete Day I,46.7,0.00778677171232944,https://leetcode.com/problems/count-pairs-that-form-a-complete-day-i,"Array, Hash Table, Counting"
MEDIUM,Contiguous Array,46.7,0.005208313127416178,https://leetcode.com/problems/contiguous-array,"Array, Hash Table, Prefix Sum"
EASY,Roman to Integer,46.7,0.006704937127074916,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
