Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.0058009546124321455,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Find Consecutive Integers from a Data Stream,100.0,0.005160665331083931,https://leetcode.com/problems/find-consecutive-integers-from-a-data-stream,"Hash Table, Design, Queue, Counting, Data Stream"
EASY,Maximum Nesting Depth of the Parentheses,100.0,0.008504440517617907,https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses,"String, Stack, Bracket Sequences"
EASY,Valid Parentheses,88.1,0.00447256235432388,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Copy List with Random Pointer,88.1,0.006350927533001067,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Number of Islands,82.5,0.006496040637974149,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Trapping Rain Water,75.2,0.0068028473122123435,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Container With Most Water,75.2,0.006064825132075551,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Longest Substring Without Repeating Characters,65.0,0.003977943716823733,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Count Primes,65.0,0.0036370909892008444,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory, Primality Test, Sieve Theory, Prime Number Sieve"
MEDIUM,LRU Cache,65.0,0.004786878479290145,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Palindrome Number,65.0,0.006087450204378276,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Rotate Image,65.0,0.008057026987892065,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Maximum Subarray,65.0,0.0053735433346384556,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Min Stack,65.0,0.005855044939254337,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Product of Array Except Self,65.0,0.006916451481502173,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Majority Element II,65.0,0.005667187222437231,https://leetcode.com/problems/majority-element-ii,"Array, Hash Table, Sorting, Counting, Boyer–Moore Majority Vote Algorithm"
EASY,Palindrome Linked List,65.0,0.0058607974134847855,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Lowest Common Ancestor of a Binary Tree,65.0,0.006995188662970187,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree, Binary Lifting, Lowest Common Ancestor"
EASY,Linked List Cycle,65.0,0.005490607925514946,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers, Floyd's Cycle Finding Algorithm"
