Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Valid Parentheses,100.0,0.00447256235432388,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Plus One,83.3,0.0050450412468024015,https://leetcode.com/problems/plus-one,"Array, Math"
MEDIUM,LRU Cache,79.0,0.004786878479290145,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Course Schedule II,66.4,0.00560879826731261,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Coin Change,66.4,0.004897333599858242,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
MEDIUM,Word Break,66.4,0.004977890504300215,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization, Brute-Force Search"
EASY,Two Sum,61.7,0.0058009546124321455,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Rotting Oranges,61.7,0.005927616786771823,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
HARD,Reverse Pairs,61.7,0.0034986550771487985,https://leetcode.com/problems/reverse-pairs,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set, Treap"
HARD,Number of Ways to Paint N × 3 Grid,61.7,0.008055706339339391,https://leetcode.com/problems/number-of-ways-to-paint-n-3-grid,"Dynamic Programming, Graph Coloring"
MEDIUM,Group Anagrams,55.6,0.007312901310317969,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Unique Email Addresses,55.6,0.006796216417420244,https://leetcode.com/problems/unique-email-addresses,"Array, Hash Table, String"
EASY,Logger Rate Limiter,55.6,0.007688314472535719,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
EASY,Maximum Product of Three Numbers,55.6,0.004822240409935236,https://leetcode.com/problems/maximum-product-of-three-numbers,"Array, Math, Sorting"
HARD,Russian Doll Envelopes,55.6,0.0038122061292900616,https://leetcode.com/problems/russian-doll-envelopes,"Array, Binary Search, Dynamic Programming, Sorting, Longest Increasing Subsequence"
HARD,Longest Valid Parentheses,55.6,0.00395033008997663,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack, Bracket Sequences"
MEDIUM,Daily Temperatures,55.6,0.006905688972045715,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
EASY,Valid Palindrome,55.6,0.005407046320216325,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Merge Intervals,55.6,0.005257640819791322,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Count Islands With Total Value Divisible by K,55.6,0.005553623188405798,https://leetcode.com/problems/count-islands-with-total-value-divisible-by-k,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Strange Printer,55.6,0.0060980229188425834,https://leetcode.com/problems/strange-printer,"String, Dynamic Programming"
MEDIUM,Longest Balanced Subarray I,55.6,0.006570495469511275,https://leetcode.com/problems/longest-balanced-subarray-i,"Array, Hash Table, Divide and Conquer, Segment Tree, Prefix Sum"
MEDIUM,Generate Parentheses,46.9,0.007906614143132156,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
HARD,Sudoku Solver,46.9,0.0065586247531822465,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix, Algorithm X, Dancing Links"
MEDIUM,Spiral Matrix,46.9,0.005762711174821628,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,House Robber,46.9,0.005350270641637675,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Top K Frequent Elements,46.9,0.006713892435393438,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Maximal Rectangle,46.9,0.0059595524837098394,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
EASY,Move Zeroes,46.9,0.006426542848126944,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Minimum Limit of Balls in a Bag,46.9,0.0065968288285314656,https://leetcode.com/problems/minimum-limit-of-balls-in-a-bag,"Array, Binary Search"
MEDIUM,Lowest Common Ancestor of a Binary Tree,46.9,0.006995188662970187,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree, Binary Lifting, Lowest Common Ancestor"
MEDIUM,Decode Ways,46.9,0.00384457632780314,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Next Permutation,46.9,0.004595885374911035,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Next Greater Element II,46.9,0.006900568103345089,https://leetcode.com/problems/next-greater-element-ii,"Array, Stack, Monotonic Stack"
MEDIUM,Minimum Deletions to Make Character Frequencies Unique,46.9,0.006153038755285865,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique,"Hash Table, String, Greedy, Sorting"
HARD,Employee Free Time,46.9,0.007297685168666722,https://leetcode.com/problems/employee-free-time,"Array, Sweep Line, Sorting, Heap (Priority Queue)"
MEDIUM,Cheapest Flights Within K Stops,46.9,0.0042415050231186255,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path"
HARD,Find Median from Data Stream,46.9,0.005487679835331043,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
HARD,Painting a Grid With Three Different Colors,46.9,0.007693910096680951,https://leetcode.com/problems/painting-a-grid-with-three-different-colors,"Dynamic Programming, Graph Coloring"
MEDIUM,Palindromic Substrings,46.9,0.007312519405862714,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
