Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Valid Parentheses,100.0,0.00447256235432388,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Plus One,80.9,0.0050450412468024015,https://leetcode.com/problems/plus-one,"Array, Math"
EASY,Maximum Product of Three Numbers,79.0,0.004822240409935236,https://leetcode.com/problems/maximum-product-of-three-numbers,"Array, Math, Sorting"
MEDIUM,Count Islands With Total Value Divisible by K,79.0,0.005553623188405798,https://leetcode.com/problems/count-islands-with-total-value-divisible-by-k,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Dungeon Game,79.0,0.004200809393825798,https://leetcode.com/problems/dungeon-game,"Array, Dynamic Programming, Matrix"
MEDIUM,Maximum Difference Score in a Grid,76.9,0.004793927488413785,https://leetcode.com/problems/maximum-difference-score-in-a-grid,"Array, Dynamic Programming, Matrix"
MEDIUM,Most Profitable Path in a Tree,76.9,0.006730534434196051,https://leetcode.com/problems/most-profitable-path-in-a-tree,"Array, Tree, Depth-First Search, Breadth-First Search, Graph Theory"
MEDIUM,LRU Cache,74.6,0.004786878479290145,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Number of Distinct Substrings in a String,74.6,0.00647142161420286,https://leetcode.com/problems/number-of-distinct-substrings-in-a-string,"String, Trie, Rolling Hash, Suffix Array, Hash Function"
MEDIUM,Length of the Longest Subsequence That Sums to Target,72.1,0.004032591595840466,https://leetcode.com/problems/length-of-the-longest-subsequence-that-sums-to-target,"Array, Dynamic Programming, Knapsack Problem, 0-1 Knapsack"
HARD,Maximum Total Beauty of the Gardens,72.1,0.0030323242688558233,https://leetcode.com/problems/maximum-total-beauty-of-the-gardens,"Array, Two Pointers, Binary Search, Greedy, Sorting, Enumeration, Prefix Sum"
HARD,Make String Anti-palindrome,72.1,0.004633273703041144,https://leetcode.com/problems/make-string-anti-palindrome,"String, Greedy, Sorting, Counting Sort"
MEDIUM,Coin Change,72.1,0.004897333599858242,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
MEDIUM,Destroy Sequential Targets,72.1,0.004234511978780937,https://leetcode.com/problems/destroy-sequential-targets,"Array, Hash Table, Counting"
MEDIUM,Number of Substrings With Fixed Ratio,72.1,0.005604395604395605,https://leetcode.com/problems/number-of-substrings-with-fixed-ratio,"Hash Table, Math, String, Prefix Sum"
MEDIUM,Max Area of Island,72.1,0.007418586501005358,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Basic Calculator IV,72.1,0.004986395532006301,https://leetcode.com/problems/basic-calculator-iv,"Hash Table, Math, String, Stack, Recursion"
MEDIUM,Word Break,69.2,0.004977890504300215,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization, Brute-Force Search"
HARD,Find Median from Data Stream,65.9,0.005487679835331043,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Course Schedule II,61.9,0.00560879826731261,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
EASY,Two Sum,57.1,0.0058009546124321455,https://leetcode.com/problems/two-sum,"Array, Hash Table"
