Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Design a Text Editor,100.0,0.005142492225677476,https://leetcode.com/problems/design-a-text-editor,"Linked List, String, Stack, Design, Simulation, Doubly-Linked List"
MEDIUM,LRU Cache,91.7,0.004786878479290145,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Teemo Attacking,91.7,0.005801684112676335,https://leetcode.com/problems/teemo-attacking,"Array, Simulation"
HARD,Stream of Characters,80.0,0.005275951080030216,https://leetcode.com/problems/stream-of-characters,"Array, String, Design, Trie, Data Stream, Aho–Corasick Algorithm"
EASY,Count Common Words With One Occurrence,80.0,0.00736927692617991,https://leetcode.com/problems/count-common-words-with-one-occurrence,"Array, Hash Table, String, Counting"
MEDIUM,Walking Robot Simulation,80.0,0.006462662164475529,https://leetcode.com/problems/walking-robot-simulation,"Array, Hash Table, Simulation"
EASY,Add Strings,80.0,0.005221924583832983,https://leetcode.com/problems/add-strings,"Math, String, Simulation"
EASY,Add Two Integers,80.0,0.00880908125701897,https://leetcode.com/problems/add-two-integers,Math
EASY,Longest Common Prefix,80.0,0.004818721224905541,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Valid Parentheses,80.0,0.00447256235432388,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Two Sum,80.0,0.0058009546124321455,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Number of Orders in the Backlog,80.0,0.005425456816268904,https://leetcode.com/problems/number-of-orders-in-the-backlog,"Array, Heap (Priority Queue), Simulation"
