Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Count Common Words With One Occurrence,100.0,0.00736927692617991,https://leetcode.com/problems/count-common-words-with-one-occurrence,"Array, Hash Table, String, Counting"
MEDIUM,Walking Robot Simulation,97.8,0.006462662164475529,https://leetcode.com/problems/walking-robot-simulation,"Array, Hash Table, Simulation"
HARD,Minimum Time to Make Array Sum At Most x,95.3,0.0028331431718928274,https://leetcode.com/problems/minimum-time-to-make-array-sum-at-most-x,"Array, Dynamic Programming, Sorting"
HARD,Design a Text Editor,81.5,0.005142492225677476,https://leetcode.com/problems/design-a-text-editor,"Linked List, String, Stack, Design, Simulation, Doubly-Linked List"
MEDIUM,LRU Cache,76.3,0.004786878479290145,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Teemo Attacking,69.5,0.005801684112676335,https://leetcode.com/problems/teemo-attacking,"Array, Simulation"
EASY,Longest Common Prefix,60.1,0.004818721224905541,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
HARD,Stream of Characters,60.1,0.005275951080030216,https://leetcode.com/problems/stream-of-characters,"Array, String, Design, Trie, Data Stream, Aho–Corasick Algorithm"
EASY,Add Two Integers,60.1,0.00880908125701897,https://leetcode.com/problems/add-two-integers,Math
EASY,Add Strings,60.1,0.005221924583832983,https://leetcode.com/problems/add-strings,"Math, String, Simulation"
EASY,Valid Parentheses,60.1,0.00447256235432388,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Two Sum,60.1,0.0058009546124321455,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Number of Orders in the Backlog,60.1,0.005425456816268904,https://leetcode.com/problems/number-of-orders-in-the-backlog,"Array, Heap (Priority Queue), Simulation"
MEDIUM,Add Two Numbers,60.1,0.004913307923045276,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
