Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Max Stack,100.0,0.004599698831436495,https://leetcode.com/problems/max-stack,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
MEDIUM,Shortest Word Distance II,90.7,0.006300057541340713,https://leetcode.com/problems/shortest-word-distance-ii,"Array, Hash Table, Two Pointers, String, Design"
MEDIUM,Nested List Weight Sum II,88.3,0.006704579704627294,https://leetcode.com/problems/nested-list-weight-sum-ii,"Stack, Depth-First Search, Breadth-First Search"
EASY,Valid Parentheses,85.6,0.004472562561793012,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Maximum Subarray,85.6,0.005373542580782169,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Letter Combinations of a Phone Number,79.1,0.00666599875655181,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Sort Transformed Array,74.9,0.005828517672355866,https://leetcode.com/problems/sort-transformed-array,"Array, Math, Two Pointers, Sorting"
MEDIUM,Bulb Switcher,74.9,0.005632902559522149,https://leetcode.com/problems/bulb-switcher,"Math, Brainteaser"
MEDIUM,LRU Cache,74.9,0.004786878853306251,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Can Place Flowers,69.8,0.0029279925958739022,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
HARD,Word Ladder,69.8,0.004632622982670689,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search, Bidirectional Search"
MEDIUM,Number of Islands,69.8,0.006496043375604943,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Nested List Weight Sum,63.3,0.008598194742742628,https://leetcode.com/problems/nested-list-weight-sum,"Depth-First Search, Breadth-First Search"
MEDIUM,Find Leaves of Binary Tree,63.3,0.008134901242393862,https://leetcode.com/problems/find-leaves-of-binary-tree,"Tree, Depth-First Search, Binary Tree, DP on Trees"
MEDIUM,Maximum Product Subarray,63.3,0.003689225221573429,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
