Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Max Stack,100.0,0.004599698831436495,https://leetcode.com/problems/max-stack,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
HARD,All O`one Data Structure,96.5,0.004446828603783362,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Nested List Weight Sum II,95.5,0.006704579704627294,https://leetcode.com/problems/nested-list-weight-sum-ii,"Stack, Depth-First Search, Breadth-First Search"
MEDIUM,Max Consecutive Ones III,85.6,0.006827661822775556,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Find the Celebrity,80.1,0.004906643023186505,https://leetcode.com/problems/find-the-celebrity,"Two Pointers, Graph Theory, Interactive"
EASY,Valid Parentheses,78.8,0.004472562561793012,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Shortest Word Distance II,78.8,0.006300057541340713,https://leetcode.com/problems/shortest-word-distance-ii,"Array, Hash Table, Two Pointers, String, Design"
MEDIUM,Nested List Weight Sum,78.4,0.008598194742742628,https://leetcode.com/problems/nested-list-weight-sum,"Depth-First Search, Breadth-First Search"
MEDIUM,Insert Delete GetRandom O(1),77.9,0.00554863639630497,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Maximum Subarray,77.0,0.005373542580782169,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,Word Ladder,77.0,0.004632622982670689,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search, Bidirectional Search"
MEDIUM,Number of Islands,75.5,0.006496043375604943,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Find Leaves of Binary Tree,74.5,0.008134901242393862,https://leetcode.com/problems/find-leaves-of-binary-tree,"Tree, Depth-First Search, Binary Tree, DP on Trees"
MEDIUM,Letter Combinations of a Phone Number,73.4,0.00666599875655181,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Can Place Flowers,70.9,0.0029279925958739022,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
MEDIUM,Lowest Common Ancestor of a Binary Search Tree,69.5,0.007119581268810468,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree, Binary Lifting, Lowest Common Ancestor"
MEDIUM,Maximum Product Subarray,68.8,0.003689225221573429,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Binary Tree Upside Down,68.8,0.006557457345778116,https://leetcode.com/problems/binary-tree-upside-down,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Find First and Last Position of Element in Sorted Array,68.8,0.0049506160080594,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Exclusive Time of Functions,68.0,0.006626042210744203,https://leetcode.com/problems/exclusive-time-of-functions,"Array, Stack"
MEDIUM,"Pow(x, n)",65.6,0.003917072990639347,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Sort Transformed Array,65.6,0.005828517672355866,https://leetcode.com/problems/sort-transformed-array,"Array, Math, Two Pointers, Sorting"
MEDIUM,LRU Cache,64.7,0.004786878853306251,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Partition to K Equal Sum Subsets,64.7,0.003882664276647606,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask"
MEDIUM,Bulb Switcher,63.7,0.005632902559522149,https://leetcode.com/problems/bulb-switcher,"Math, Brainteaser"
HARD,Closest Binary Search Tree Value II,62.7,0.0061284802495970405,https://leetcode.com/problems/closest-binary-search-tree-value-ii,"Two Pointers, Stack, Tree, Depth-First Search, Binary Search Tree, Heap (Priority Queue), Binary Tree"
HARD,Minimum Window Substring,62.7,0.004825491928795409,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Paint House,60.5,0.006452224596852535,https://leetcode.com/problems/paint-house,"Array, Dynamic Programming"
HARD,Insert Delete GetRandom O(1) - Duplicates allowed,60.5,0.003689525730978801,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,"Array, Hash Table, Math, Design, Randomized"
