Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Max Stack,100.0,0.004599698831436495,https://leetcode.com/problems/max-stack,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
MEDIUM,Nested List Weight Sum II,95.4,0.006704579704627294,https://leetcode.com/problems/nested-list-weight-sum-ii,"Stack, Depth-First Search, Breadth-First Search"
HARD,All O`one Data Structure,93.8,0.004446828603783362,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Max Consecutive Ones III,83.2,0.006827661822775556,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Shortest Word Distance II,82.3,0.006300057541340713,https://leetcode.com/problems/shortest-word-distance-ii,"Array, Hash Table, Two Pointers, String, Design"
MEDIUM,Find the Celebrity,80.7,0.004906643023186505,https://leetcode.com/problems/find-the-celebrity,"Two Pointers, Graph Theory, Interactive"
MEDIUM,Maximum Subarray,80.4,0.005373542580782169,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Nested List Weight Sum,79.7,0.008598194742742628,https://leetcode.com/problems/nested-list-weight-sum,"Depth-First Search, Breadth-First Search"
EASY,Valid Parentheses,79.0,0.004472562561793012,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
HARD,Word Ladder,79.0,0.004632622982670689,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search, Bidirectional Search"
MEDIUM,Find Leaves of Binary Tree,76.7,0.008134901242393862,https://leetcode.com/problems/find-leaves-of-binary-tree,"Tree, Depth-First Search, Binary Tree, DP on Trees"
MEDIUM,Insert Delete GetRandom O(1),75.8,0.00554863639630497,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Number of Islands,74.5,0.006496043375604943,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Can Place Flowers,74.5,0.0029279925958739022,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
MEDIUM,Letter Combinations of a Phone Number,73.6,0.00666599875655181,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Maximum Product Subarray,72.5,0.003689225221573429,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Find First and Last Position of Element in Sorted Array,70.9,0.0049506160080594,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Binary Tree Upside Down,70.9,0.006557457345778116,https://leetcode.com/problems/binary-tree-upside-down,"Tree, Depth-First Search, Binary Tree"
MEDIUM,"Pow(x, n)",69.2,0.003917072990639347,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Partition to K Equal Sum Subsets,69.2,0.003882664276647606,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask"
MEDIUM,Search in Rotated Sorted Array,66.5,0.0045462314168036935,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
