Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Rotting Oranges,100.0,0.005927624222963237,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
HARD,Minimum Window Substring,90.1,0.004825491928795409,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Read N Characters Given read4 II - Call Multiple Times,89.2,0.004334779377755175,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times,"Array, Simulation, Interactive"
MEDIUM,Time Based Key-Value Store,82.8,0.005012852742454725,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Convert Sorted List to Binary Search Tree,76.9,0.006719566823465599,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,"Linked List, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
MEDIUM,Check Completeness of a Binary Tree,75.1,0.00594532343127758,https://leetcode.com/problems/check-completeness-of-a-binary-tree,"Tree, Breadth-First Search, Binary Tree"
HARD,Max Stack,70.8,0.004599698831436495,https://leetcode.com/problems/max-stack,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
HARD,Word Ladder II,68.3,0.0027962640603764856,https://leetcode.com/problems/word-ladder-ii,"Hash Table, String, Backtracking, Breadth-First Search, Bidirectional Search"
MEDIUM,Min Stack,61.9,0.005855048286217287,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Longest Consecutive Sequence,57.6,0.0047208339899073495,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Longest Substring Without Repeating Characters,57.6,0.003977946185101758,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Decode Ways,57.6,0.003844577698568601,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Water and Jug Problem,52.2,0.004620419040671594,https://leetcode.com/problems/water-and-jug-problem,"Math, Depth-First Search, Breadth-First Search, Bézout's Lemma, Euclidean Algorithm, Greatest Common Divisor, Extended Euclidean Algorithm"
MEDIUM,Product of Array Except Self,52.2,0.0069164529225789195,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
HARD,Maximum Candies You Can Get from Boxes,52.2,0.006710428111732391,https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes,"Array, Breadth-First Search, Graph Theory"
MEDIUM,Coordinate With Maximum Network Quality,52.2,0.003996725069592272,https://leetcode.com/problems/coordinate-with-maximum-network-quality,"Array, Enumeration"
MEDIUM,Sort List,52.2,0.00651868813992765,https://leetcode.com/problems/sort-list,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort"
MEDIUM,Implement Trie (Prefix Tree),44.5,0.006991491146663074,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Meeting Rooms II,44.5,0.005277681052747888,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
