Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Rotting Oranges,100.0,0.005927624222963237,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
HARD,Minimum Window Substring,94.3,0.004825491928795409,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Read N Characters Given read4 II - Call Multiple Times,92.9,0.004334779377755175,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times,"Array, Simulation, Interactive"
MEDIUM,Time Based Key-Value Store,88.9,0.005012852742454725,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Convert Sorted List to Binary Search Tree,75.5,0.006719566823465599,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,"Linked List, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
MEDIUM,Check Completeness of a Binary Tree,73.7,0.00594532343127758,https://leetcode.com/problems/check-completeness-of-a-binary-tree,"Tree, Breadth-First Search, Binary Tree"
HARD,Smallest Range Covering Elements from K Lists,69.4,0.007032804009378925,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
MEDIUM,Car Pooling,69.4,0.005647519438385424,https://leetcode.com/problems/car-pooling,"Array, Sorting, Heap (Priority Queue), Simulation, Prefix Sum"
HARD,Max Stack,69.4,0.004599698831436495,https://leetcode.com/problems/max-stack,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
MEDIUM,String Compression,69.4,0.006060161946093505,https://leetcode.com/problems/string-compression,"Two Pointers, String"
HARD,Word Ladder II,66.8,0.0027962640603764856,https://leetcode.com/problems/word-ladder-ii,"Hash Table, String, Backtracking, Breadth-First Search, Bidirectional Search"
MEDIUM,Min Stack,63.8,0.005855048286217287,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Decode Ways,60.3,0.003844577698568601,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Longest Consecutive Sequence,56.0,0.0047208339899073495,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Longest Substring Without Repeating Characters,56.0,0.003977946185101758,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Meeting Rooms II,50.5,0.005277681052747888,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Water and Jug Problem,50.5,0.004620419040671594,https://leetcode.com/problems/water-and-jug-problem,"Math, Depth-First Search, Breadth-First Search, Bézout's Lemma, Euclidean Algorithm, Greatest Common Divisor, Extended Euclidean Algorithm"
MEDIUM,Coordinate With Maximum Network Quality,50.5,0.003996725069592272,https://leetcode.com/problems/coordinate-with-maximum-network-quality,"Array, Enumeration"
MEDIUM,Product of Array Except Self,50.5,0.0069164529225789195,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
HARD,Maximum Candies You Can Get from Boxes,50.5,0.006710428111732391,https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes,"Array, Breadth-First Search, Graph Theory"
MEDIUM,Sort List,50.5,0.00651868813992765,https://leetcode.com/problems/sort-list,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort"
MEDIUM,Implement Trie (Prefix Tree),42.7,0.006991491146663074,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Letter Combinations of a Phone Number,42.7,0.00666599875655181,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Detonate the Maximum Bombs,42.7,0.005037999667469388,https://leetcode.com/problems/detonate-the-maximum-bombs,"Array, Math, Depth-First Search, Breadth-First Search, Graph Theory, Geometry"
MEDIUM,Validate Binary Search Tree,42.7,0.0036206327238124504,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
