Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,First Missing Positive,100.0,0.004354292161618131,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Cheapest Flights Within K Stops,85.8,0.004241505672155206,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path"
MEDIUM,Merge Intervals,85.8,0.005257644267966873,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Generate Parentheses,74.6,0.007906617395717882,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
MEDIUM,Word Search,74.6,0.004794686881917228,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
HARD,Longest Valid Parentheses,74.6,0.003950327504831748,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack, Bracket Sequences"
MEDIUM,Group Anagrams,74.6,0.007312904413091329,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Multiply Strings,74.6,0.004462404401044526,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
MEDIUM,Longest Palindromic Substring,74.6,0.0038471123361969732,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Maximum Sum Circular Subarray,74.6,0.005115689349996809,https://leetcode.com/problems/maximum-sum-circular-subarray,"Array, Divide and Conquer, Dynamic Programming, Queue, Monotonic Queue"
HARD,Word Ladder,74.6,0.004632622982670689,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search, Bidirectional Search"
HARD,Trapping Rain Water,74.6,0.006802850023441573,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,House Robber,74.6,0.0053502694891771055,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
