Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Length of Longest Subarray With at Most K Frequency,100.0,0.006050599473508258,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency,"Array, Hash Table, Sliding Window"
HARD,Sum Of Special Evenly-Spaced Elements In Array,100.0,0.004970447509147199,https://leetcode.com/problems/sum-of-special-evenly-spaced-elements-in-array,"Array, Dynamic Programming, Sqrt Decomposition"
MEDIUM,Longest Ideal Subsequence,100.0,0.0046606329829070245,https://leetcode.com/problems/longest-ideal-subsequence,"Hash Table, String, Dynamic Programming"
MEDIUM,Reachable Nodes With Restrictions,100.0,0.006069795713417374,https://leetcode.com/problems/reachable-nodes-with-restrictions,"Array, Hash Table, Tree, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
HARD,First Missing Positive,87.9,0.004354292161618131,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Cheapest Flights Within K Stops,74.8,0.004241505672155206,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path"
MEDIUM,Merge Intervals,74.8,0.005257644267966873,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Generate Parentheses,64.4,0.007906617395717882,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
HARD,Trapping Rain Water,64.4,0.006802850023441573,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Longest Valid Parentheses,64.4,0.003950327504831748,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack, Bracket Sequences"
MEDIUM,Longest Palindromic Substring,64.4,0.0038471123361969732,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Word Search,64.4,0.004794686881917228,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Group Anagrams,64.4,0.007312904413091329,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Multiply Strings,64.4,0.004462404401044526,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
MEDIUM,Maximum Sum Circular Subarray,64.4,0.005115689349996809,https://leetcode.com/problems/maximum-sum-circular-subarray,"Array, Divide and Conquer, Dynamic Programming, Queue, Monotonic Queue"
HARD,Word Ladder,64.4,0.004632622982670689,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search, Bidirectional Search"
MEDIUM,Longest Substring Without Repeating Characters,64.4,0.003977946185101758,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,House Robber,64.4,0.0053502694891771055,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,House Robber II,64.4,0.004540396793908979,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming"
