Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Sell Diminishing-Valued Colored Balls,100.0,0.0030387360552114762,https://leetcode.com/problems/sell-diminishing-valued-colored-balls,"Array, Math, Binary Search, Greedy, Sorting, Heap (Priority Queue)"
HARD,Binary Tree Cameras,95.7,0.004807813330861584,https://leetcode.com/problems/binary-tree-cameras,"Dynamic Programming, Tree, Depth-First Search, Binary Tree, DP on Trees"
MEDIUM,Shopping Offers,95.7,0.005271090895894321,https://leetcode.com/problems/shopping-offers,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask, Knapsack Problem, Complete Knapsack"
HARD,Count Subarrays With Fixed Bounds,90.5,0.006917437440700361,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Array, Queue, Sliding Window, Monotonic Queue"
EASY,Pass the Pillow,90.5,0.005660925684988857,https://leetcode.com/problems/pass-the-pillow,"Math, Simulation"
HARD,Minimum Edge Reversals So Every Node Is Reachable,79.5,0.005979537703675635,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory"
MEDIUM,Task Scheduler,74.2,0.006363490690592593,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Minimum Equal Sum of Two Arrays After Replacing Zeros,74.2,0.005007307784677668,https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros,"Array, Greedy"
HARD,String Transformation,67.5,0.002704022150976392,https://leetcode.com/problems/string-transformation,"Math, String, Dynamic Programming, String Matching"
MEDIUM,Total Cost to Hire K Workers,67.5,0.00438624044405703,https://leetcode.com/problems/total-cost-to-hire-k-workers,"Array, Two Pointers, Heap (Priority Queue), Simulation"
MEDIUM,Number of Divisible Triplet Sums,67.5,0.0067640522875816985,https://leetcode.com/problems/number-of-divisible-triplet-sums,"Array, Hash Table"
HARD,Reverse Nodes in k-Group,67.5,0.0066965588403128115,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Maximum Number of Alloys,58.0,0.004113502190059036,https://leetcode.com/problems/maximum-number-of-alloys,"Array, Binary Search"
MEDIUM,Maximum Palindromes After Operations,58.0,0.0047082602094137595,https://leetcode.com/problems/maximum-palindromes-after-operations,"Array, Hash Table, String, Greedy, Sorting, Counting"
EASY,Valid Parentheses,58.0,0.004472562561793012,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Count Vowel Strings in Ranges,58.0,0.006788224525156103,https://leetcode.com/problems/count-vowel-strings-in-ranges,"Array, String, Prefix Sum"
MEDIUM,Find the Longest Equal Subarray,58.0,0.003859559504858752,https://leetcode.com/problems/find-the-longest-equal-subarray,"Array, Hash Table, Binary Search, Sliding Window"
EASY,Lexicographically Smallest Palindrome,58.0,0.008166346641547712,https://leetcode.com/problems/lexicographically-smallest-palindrome,"Two Pointers, String, Greedy"
HARD,Count Vowels Permutation,58.0,0.006134700577485958,https://leetcode.com/problems/count-vowels-permutation,Dynamic Programming
