Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Sell Diminishing-Valued Colored Balls,100.0,0.0030387360552114762,https://leetcode.com/problems/sell-diminishing-valued-colored-balls,"Array, Math, Binary Search, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Total Cost to Hire K Workers,98.0,0.00438624044405703,https://leetcode.com/problems/total-cost-to-hire-k-workers,"Array, Two Pointers, Heap (Priority Queue), Simulation"
MEDIUM,Maximum Number of Alloys,95.9,0.004113267190981281,https://leetcode.com/problems/maximum-number-of-alloys,"Array, Binary Search"
MEDIUM,Maximum Palindromes After Operations,93.6,0.0047082602094137595,https://leetcode.com/problems/maximum-palindromes-after-operations,"Array, Hash Table, String, Greedy, Sorting, Counting"
HARD,Binary Tree Cameras,93.6,0.004807813330861584,https://leetcode.com/problems/binary-tree-cameras,"Dynamic Programming, Tree, Depth-First Search, Binary Tree, DP on Trees"
MEDIUM,Shopping Offers,93.6,0.005271090895894321,https://leetcode.com/problems/shopping-offers,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask, Knapsack Problem, Complete Knapsack"
EASY,Reshape the Matrix,91.0,0.0065420043013043735,https://leetcode.com/problems/reshape-the-matrix,"Array, Matrix, Simulation"
HARD,Count Anagrams,88.1,0.003816611318547069,https://leetcode.com/problems/count-anagrams,"Hash Table, Math, String, Combinatorics, Counting, Fermat's Little Theorem"
MEDIUM,Remove Colored Pieces if Both Neighbors are the Same Color,88.1,0.0063135793275781995,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color,"Math, String, Greedy, Game Theory"
HARD,Last Substring in Lexicographical Order,88.1,0.003521058679028488,https://leetcode.com/problems/last-substring-in-lexicographical-order,"Two Pointers, String, Lyndon Factorization"
MEDIUM,Minimum Cost Tree From Leaf Values,88.1,0.006795047544443719,https://leetcode.com/problems/minimum-cost-tree-from-leaf-values,"Array, Dynamic Programming, Stack, Greedy, Monotonic Stack, Cartesian Tree"
HARD,Earliest Second to Mark Indices II,88.1,0.002226770146714863,https://leetcode.com/problems/earliest-second-to-mark-indices-ii,"Array, Binary Search, Greedy, Heap (Priority Queue)"
MEDIUM,Earliest Second to Mark Indices I,88.1,0.00368376655836041,https://leetcode.com/problems/earliest-second-to-mark-indices-i,"Array, Binary Search"
HARD,Count Subarrays With Fixed Bounds,88.1,0.006917437440700361,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Array, Queue, Sliding Window, Monotonic Queue"
EASY,Keyboard Row,88.1,0.007427276582438434,https://leetcode.com/problems/keyboard-row,"Array, Hash Table, String"
EASY,Pass the Pillow,88.1,0.005660925684988857,https://leetcode.com/problems/pass-the-pillow,"Math, Simulation"
HARD,Minimum Edge Reversals So Every Node Is Reachable,76.6,0.005979537703675635,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory"
MEDIUM,Task Scheduler,71.2,0.006363492940458064,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Minimum Equal Sum of Two Arrays After Replacing Zeros,71.2,0.005007324913970859,https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros,"Array, Greedy"
HARD,String Transformation,64.2,0.002704022150976392,https://leetcode.com/problems/string-transformation,"Math, String, Dynamic Programming, String Matching"
HARD,Reverse Nodes in k-Group,64.2,0.006696562856773472,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Number of Divisible Triplet Sums,64.2,0.0067640522875816985,https://leetcode.com/problems/number-of-divisible-triplet-sums,"Array, Hash Table"
MEDIUM,Count Vowel Strings in Ranges,54.3,0.006788224525156103,https://leetcode.com/problems/count-vowel-strings-in-ranges,"Array, String, Prefix Sum"
MEDIUM,Find the Longest Equal Subarray,54.3,0.003859559504858752,https://leetcode.com/problems/find-the-longest-equal-subarray,"Array, Hash Table, Binary Search, Sliding Window"
EASY,Lexicographically Smallest Palindrome,54.3,0.008166346641547712,https://leetcode.com/problems/lexicographically-smallest-palindrome,"Two Pointers, String, Greedy"
HARD,Count Vowels Permutation,54.3,0.006134700577485958,https://leetcode.com/problems/count-vowels-permutation,Dynamic Programming
EASY,Valid Parentheses,54.3,0.004472564577393003,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Total Characters in String After Transformations I,54.3,0.004564912511155842,https://leetcode.com/problems/total-characters-in-string-after-transformations-i,"Hash Table, Math, String, Dynamic Programming, Counting"
