Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Trapping Rain Water II,100.0,0.006419299448122842,https://leetcode.com/problems/trapping-rain-water-ii,"Array, Breadth-First Search, Heap (Priority Queue), Matrix"
HARD,Russian Doll Envelopes,84.8,0.0038121966528496766,https://leetcode.com/problems/russian-doll-envelopes,"Array, Binary Search, Dynamic Programming, Sorting, Longest Increasing Subsequence"
HARD,Trapping Rain Water,77.4,0.006802852880710293,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Most Stones Removed with Same Row or Column,77.4,0.00633893729147263,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,"Hash Table, Depth-First Search, Union-Find, Graph Theory, Bipartite Graph"
HARD,Difference Between Maximum and Minimum Price Sum,72.5,0.003418967243598912,https://leetcode.com/problems/difference-between-maximum-and-minimum-price-sum,"Array, Dynamic Programming, Tree, Depth-First Search, DP on Trees"
MEDIUM,Count the Number of Square-Free Subsets,66.2,0.0026892935982339955,https://leetcode.com/problems/count-the-number-of-square-free-subsets,"Array, Math, Dynamic Programming, Bit Manipulation, Number Theory, Bitmask"
HARD,Maximum Segment Sum After Removals,66.2,0.005018443168422253,https://leetcode.com/problems/maximum-segment-sum-after-removals,"Array, Union-Find, Prefix Sum, Ordered Set"
HARD,Kth Smallest Number in Multiplication Table,66.2,0.0054680359061197,https://leetcode.com/problems/kth-smallest-number-in-multiplication-table,"Math, Binary Search"
HARD,Find Maximum Non-decreasing Array Length,66.2,0.0019028101476064186,https://leetcode.com/problems/find-maximum-non-decreasing-array-length,"Array, Binary Search, Dynamic Programming, Stack, Queue, Monotonic Stack, Prefix Sum, Monotonic Queue"
MEDIUM,Minimum Number of Valid Strings to Form Target I,66.2,0.002232811532180866,https://leetcode.com/problems/minimum-number-of-valid-strings-to-form-target-i,"Array, String, Binary Search, Dynamic Programming, Greedy, Trie, Segment Tree, Rolling Hash, String Matching, Hash Function"
MEDIUM,Time Needed to Inform All Employees,57.3,0.006057793233117019,https://leetcode.com/problems/time-needed-to-inform-all-employees,"Tree, Depth-First Search, Breadth-First Search"
MEDIUM,Queue Reconstruction by Height,57.3,0.007495335385763597,https://leetcode.com/problems/queue-reconstruction-by-height,"Array, Binary Indexed Tree, Segment Tree, Sorting"
HARD,The Number of Good Subsets,57.3,0.0037766456210539478,https://leetcode.com/problems/the-number-of-good-subsets,"Array, Hash Table, Math, Dynamic Programming, Bit Manipulation, Counting, Number Theory, Bitmask, Sieve Theory"
HARD,Making A Large Island,57.3,0.005708577773167518,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Recover Binary Search Tree,57.3,0.006067054905516555,https://leetcode.com/problems/recover-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Maximum Subarray,57.3,0.005373543161064693,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Climbing Stairs,57.3,0.005428138838327141,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
