Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Trapping Rain Water II,100.0,0.006419299448122842,https://leetcode.com/problems/trapping-rain-water-ii,"Array, Breadth-First Search, Heap (Priority Queue), Matrix"
HARD,Difference Between Maximum and Minimum Price Sum,96.3,0.003418967243598912,https://leetcode.com/problems/difference-between-maximum-and-minimum-price-sum,"Array, Dynamic Programming, Tree, Depth-First Search, DP on Trees"
MEDIUM,Count the Number of Square-Free Subsets,94.1,0.0026892935982339955,https://leetcode.com/problems/count-the-number-of-square-free-subsets,"Array, Math, Dynamic Programming, Bit Manipulation, Number Theory, Bitmask"
MEDIUM,Minimum Total Space Wasted With K Resizing Operations,89.3,0.004423368165985158,https://leetcode.com/problems/minimum-total-space-wasted-with-k-resizing-operations,"Array, Dynamic Programming, Prefix Sum"
HARD,Maximum Genetic Difference Query,86.4,0.004789793981352241,https://leetcode.com/problems/maximum-genetic-difference-query,"Array, Hash Table, Bit Manipulation, Depth-First Search, Trie"
MEDIUM,Minimum Cost to Buy Apples,86.4,0.006735907678650688,https://leetcode.com/problems/minimum-cost-to-buy-apples,"Array, Graph Theory, Heap (Priority Queue), Shortest Path"
HARD,Maximum XOR of Two Non-Overlapping Subtrees,86.4,0.00513184584178499,https://leetcode.com/problems/maximum-xor-of-two-non-overlapping-subtrees,"Tree, Depth-First Search, Graph Theory, Trie"
MEDIUM,Sum of Remoteness of All Cells,86.4,0.007078579805949462,https://leetcode.com/problems/sum-of-remoteness-of-all-cells,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Maximum Value of an Ordered Triplet II,86.4,0.005625107275841656,https://leetcode.com/problems/maximum-value-of-an-ordered-triplet-ii,"Array, Prefix Sum"
EASY,Maximum Value of an Ordered Triplet I,86.4,0.005807270412098469,https://leetcode.com/problems/maximum-value-of-an-ordered-triplet-i,"Array, Prefix Sum"
MEDIUM,Furthest Building You Can Reach,86.4,0.00510971574438786,https://leetcode.com/problems/furthest-building-you-can-reach,"Array, Greedy, Heap (Priority Queue)"
