Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Number of Unique XOR Triplets II,100.0,0.0052907851061153735,https://leetcode.com/problems/number-of-unique-xor-triplets-ii,"Array, Math, Bit Manipulation, Enumeration"
MEDIUM,Number of Unique XOR Triplets I,97.6,0.00577041870581838,https://leetcode.com/problems/number-of-unique-xor-triplets-i,"Array, Math, Bit Manipulation"
EASY,Rising Temperature,85.0,0.005193934311857248,https://leetcode.com/problems/rising-temperature,Database
HARD,Count Subarrays With Fixed Bounds,80.5,0.006917437440700361,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Array, Queue, Sliding Window, Monotonic Queue"
MEDIUM,Reach a Number,80.5,0.004554043273008655,https://leetcode.com/problems/reach-a-number,"Math, Binary Search"
MEDIUM,Consecutive Numbers,75.0,0.004908367839167957,https://leetcode.com/problems/consecutive-numbers,Database
MEDIUM,Design Twitter,75.0,0.004537910608442766,https://leetcode.com/problems/design-twitter,"Hash Table, Linked List, Design, Heap (Priority Queue)"
MEDIUM,Minimum Time to Complete Trips,75.0,0.003998108350559694,https://leetcode.com/problems/minimum-time-to-complete-trips,"Array, Binary Search"
HARD,Number of Ways to Form a Target String Given a Dictionary,75.0,0.005632866292702732,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary,"Array, String, Dynamic Programming"
MEDIUM,Exchange Seats,75.0,0.0074657568474947415,https://leetcode.com/problems/exchange-seats,Database
HARD,Minimum Edge Reversals So Every Node Is Reachable,67.9,0.005979537703675635,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory"
HARD,Minimum Number of Taps to Open to Water a Garden,67.9,0.005106341685817617,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
MEDIUM,Next Permutation,67.9,0.004595894196110162,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Possible Bipartition,67.9,0.005296183402081014,https://leetcode.com/problems/possible-bipartition,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Graph Coloring, Bipartite Graph"
HARD,Maximum Profit in Job Scheduling,67.9,0.0054812066905163956,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
HARD,Distinct Subsequences,67.9,0.005239512364502914,https://leetcode.com/problems/distinct-subsequences,"String, Dynamic Programming"
MEDIUM,Delete and Earn,57.9,0.00574781085384071,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming"
HARD,Painting the Walls,57.9,0.0049200218683314815,https://leetcode.com/problems/painting-the-walls,"Array, Dynamic Programming"
MEDIUM,Jump Game,57.9,0.004138482349990174,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Asteroid Collision,57.9,0.004876316393024784,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
HARD,Number of Visible People in a Queue,57.9,0.007346109899241716,https://leetcode.com/problems/number-of-visible-people-in-a-queue,"Array, Stack, Monotonic Stack"
MEDIUM,Odd Even Linked List,57.9,0.006273141482482893,https://leetcode.com/problems/odd-even-linked-list,Linked List
MEDIUM,Number of Islands,57.9,0.006496045595930192,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,3Sum,57.9,0.003969312443673831,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Collect Coins in a Tree,57.9,0.003979289006756331,https://leetcode.com/problems/collect-coins-in-a-tree,"Array, Tree, Graph Theory, Topological Sort"
HARD,Find Median from Data Stream,57.9,0.005487685181953533,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
HARD,Split Array With Same Average,57.9,0.002743590305714192,https://leetcode.com/problems/split-array-with-same-average,"Array, Hash Table, Math, Dynamic Programming, Bit Manipulation, Meet in the Middle, Bitmask"
HARD,Robot Collisions,57.9,0.006163435341823481,https://leetcode.com/problems/robot-collisions,"Array, Stack, Sorting, Simulation"
HARD,Minimum Window Substring,57.9,0.004825493082709374,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Erect the Fence,57.9,0.00533224885669562,https://leetcode.com/problems/erect-the-fence,"Array, Math, Geometry, Convex Hull, Polygons"
HARD,Max Points on a Line,57.9,0.0031255370500333783,https://leetcode.com/problems/max-points-on-a-line,"Array, Hash Table, Math, Geometry, Euclidean Algorithm, Greatest Common Divisor"
MEDIUM,Maximum Subarray,57.9,0.005373543161064693,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
