Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.0058009569065051395,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,78.0,0.0039779465199704395,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Subarray Sum Equals K,78.0,0.004798003846179368,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Add Two Numbers,74.5,0.00491330966770989,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Palindrome Number,72.5,0.006087450999166423,https://leetcode.com/problems/palindrome-number,Math
HARD,Median of Two Sorted Arrays,70.4,0.004736979963874208,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Best Time to Buy and Sell Stock,70.4,0.005725127893111592,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Kth Largest Element in an Array,70.4,0.006924374681224585,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Group Anagrams,70.4,0.007312900794903427,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Remove Duplicates from Sorted Array,68.0,0.006356308944076769,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Move Zeroes,68.0,0.006426540363651741,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,3Sum,65.3,0.003969312443673831,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Valid Parentheses,65.3,0.004472564577393003,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Next Permutation,65.3,0.004595894196110162,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Minimum Size Subarray Sum,65.3,0.005261700277893023,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Maximum Subarray,65.3,0.005373543161064693,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Reverse Integer,65.3,0.003236618481634047,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Longest Palindromic Substring,62.3,0.0038471120984698874,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Search in Rotated Sorted Array,62.3,0.004546228086994554,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Container With Most Water,62.3,0.006064829842522907,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Koko Eating Bananas,62.3,0.0050395931681862126,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
EASY,Majority Element,62.3,0.006648700923500386,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm"
EASY,Contains Duplicate,62.3,0.006462906522501603,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
MEDIUM,Merge Intervals,58.9,0.005257646418354588,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
EASY,Valid Anagram,58.9,0.006853254068880933,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Coin Change,58.9,0.004897339390553551,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
HARD,Trapping Rain Water,58.9,0.006802852880710293,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
