Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Minimum Remove to Make Valid Parentheses,100.0,0.0071570266116854075,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,"String, Stack"
EASY,Valid Word Abbreviation,96.9,0.0037047809064440955,https://leetcode.com/problems/valid-word-abbreviation,"Two Pointers, String"
EASY,Valid Palindrome II,95.2,0.004461402405485885,https://leetcode.com/problems/valid-palindrome-ii,"Two Pointers, String, Greedy"
MEDIUM,Binary Tree Vertical Order Traversal,93.4,0.005788604132969444,https://leetcode.com/problems/binary-tree-vertical-order-traversal,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
MEDIUM,Kth Largest Element in an Array,93.1,0.006924374681224585,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Basic Calculator II,89.7,0.004708543633336923,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Lowest Common Ancestor of a Binary Tree III,88.5,0.008301671948066684,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii,"Hash Table, Two Pointers, Tree, Binary Tree, Binary Lifting, Lowest Common Ancestor"
MEDIUM,Nested List Weight Sum,88.1,0.008598194742742628,https://leetcode.com/problems/nested-list-weight-sum,"Depth-First Search, Breadth-First Search"
MEDIUM,Random Pick with Weight,87.9,0.004921193509565506,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
EASY,Two Sum,87.5,0.0058009569065051395,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Diameter of Binary Tree,86.4,0.006608644865917956,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree, DP on Trees"
MEDIUM,Subarray Sum Equals K,86.4,0.004798003846179368,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Lowest Common Ancestor of a Binary Tree,86.2,0.006995189177522382,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree, Binary Lifting, Lowest Common Ancestor"
MEDIUM,Find Peak Element,85.9,0.0047140579695030055,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
EASY,Merge Sorted Array,85.8,0.005552795361426026,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Binary Tree Right Side View,85.5,0.007097968141694821,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Merge Intervals,84.0,0.005257646418354588,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,"Pow(x, n)",83.6,0.003917077429147729,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Simplify Path,83.5,0.005122124583086863,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Buildings With an Ocean View,82.4,0.008087318964587621,https://leetcode.com/problems/buildings-with-an-ocean-view,"Array, Stack, Monotonic Stack"
MEDIUM,Top K Frequent Elements,81.6,0.006713896392811846,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
