Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.0058009569065051395,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Palindromic Substring,80.1,0.0038471120984698874,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Add Two Numbers,77.3,0.00491330966770989,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Maximum Subarray,70.5,0.005373543161064693,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,68.4,0.0039779465199704395,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Container With Most Water,68.4,0.006064829842522907,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,3Sum,68.4,0.003969312443673831,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Remove Duplicates from Sorted Array,63.5,0.006356308944076769,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Merge Intervals,63.5,0.005257646418354588,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Next Permutation,60.5,0.004595894196110162,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
EASY,Best Time to Buy and Sell Stock,60.5,0.005725127893111592,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Longest Consecutive Sequence,60.5,0.004720833110065445,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
EASY,Maximum Average Subarray I,60.5,0.004890197128141376,https://leetcode.com/problems/maximum-average-subarray-i,"Array, Sliding Window"
EASY,Roman to Integer,57.2,0.006704941751145893,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Valid Parentheses,57.2,0.004472564577393003,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
HARD,Trapping Rain Water,57.2,0.006802852880710293,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Number of Islands,57.2,0.006496045595930192,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Search a 2D Matrix,57.2,0.005438016074911106,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
HARD,Median of Two Sorted Arrays,57.2,0.004736979963874208,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Valid Anagram,57.2,0.006853254068880933,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
EASY,Majority Element,57.2,0.006648700923500386,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm"
MEDIUM,Letter Combinations of a Phone Number,57.2,0.00666599875655181,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Palindrome Number,53.2,0.006087450999166423,https://leetcode.com/problems/palindrome-number,Math
EASY,Merge Two Sorted Lists,53.2,0.006874749834652867,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
