Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.0058009569065051395,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Palindromic Substring,79.4,0.0038471120984698874,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Add Two Numbers,77.1,0.00491330966770989,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Longest Substring Without Repeating Characters,76.3,0.0039779465199704395,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Trapping Rain Water,74.5,0.006802852880710293,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,3Sum,72.6,0.003969312443673831,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Maximum Subarray,72.6,0.005373543161064693,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Merge Intervals,70.5,0.005257646418354588,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,LRU Cache,70.5,0.004786886321880775,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Number of Islands,70.5,0.006496045595930192,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Subarray Sum Equals K,70.5,0.004798003846179368,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Next Permutation,66.8,0.004595894196110162,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
EASY,Best Time to Buy and Sell Stock,66.8,0.005725127893111592,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Container With Most Water,65.5,0.006064829842522907,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Generate Parentheses,64.0,0.007906617395717882,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
HARD,Minimum Window Substring,64.0,0.004825493082709374,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
EASY,Longest Common Prefix,62.5,0.004818722323606658,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Search in Rotated Sorted Array,62.5,0.004546228086994554,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Valid Anagram,62.5,0.006853254068880933,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
EASY,Valid Parentheses,60.8,0.004472564577393003,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Remove Duplicates from Sorted Array,60.8,0.006356308944076769,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
HARD,Minimum Edge Reversals So Every Node Is Reachable,59.0,0.005979537703675635,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory"
HARD,Median of Two Sorted Arrays,56.9,0.004736979963874208,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Palindrome Number,56.9,0.006087450999166423,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Letter Combinations of a Phone Number,56.9,0.00666599875655181,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Climbing Stairs,56.9,0.005428138838327141,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Rotting Oranges,56.9,0.005927628246549014,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Longest Consecutive Sequence,56.9,0.004720833110065445,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Koko Eating Bananas,56.9,0.0050395931681862126,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
EASY,Fibonacci Number,56.9,0.007452186341263647,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
HARD,Sliding Window Maximum,56.9,0.004910887861731836,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, Range Minimum/Maximum Query"
EASY,Maximum Average Subarray I,56.9,0.004890197128141376,https://leetcode.com/problems/maximum-average-subarray-i,"Array, Sliding Window"
EASY,Final Prices With a Special Discount in a Shop,56.9,0.008429697356002474,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop,"Array, Stack, Monotonic Stack"
MEDIUM,Reverse Integer,54.7,0.003236618481634047,https://leetcode.com/problems/reverse-integer,Math
EASY,Roman to Integer,54.7,0.006704941751145893,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
HARD,Merge k Sorted Lists,54.7,0.006029394737326398,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, Tournament Sort"
HARD,N-Queens,54.7,0.007626983929720488,https://leetcode.com/problems/n-queens,"Array, Backtracking, Algorithm X"
EASY,Merge Sorted Array,54.7,0.005552795361426026,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Majority Element,54.7,0.006648700923500386,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm"
MEDIUM,House Robber,54.7,0.0053502690930537075,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Valid Palindrome,54.7,0.0054070499205451225,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
EASY,Contains Duplicate,54.7,0.006462906522501603,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
EASY,Merge Two Sorted Lists,52.3,0.006874749834652867,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Rotate Image,52.3,0.008057030023943944,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Copy List with Random Pointer,52.3,0.006350924649997945,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Rotate Array,52.3,0.004532008665203593,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Meeting Rooms II,52.3,0.005277671515035725,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
EASY,Move Zeroes,52.3,0.006426540363651741,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
HARD,Serialize and Deserialize Binary Tree,52.3,0.00610284664919484,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
MEDIUM,Longest Increasing Subsequence,52.3,0.005984857536590311,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming, Longest Increasing Subsequence"
MEDIUM,Subsets,52.3,0.008271570156203122,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Longest Repeating Character Replacement,52.3,0.00604302486313581,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
MEDIUM,Zigzag Conversion,52.3,0.005489179264677859,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,Reorder List,52.3,0.006600058973491128,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Search a 2D Matrix,52.3,0.005438016074911106,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Sort Colors,49.5,0.007016879048173766,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting, Quicksort, Bubble Sort"
MEDIUM,Min Stack,49.5,0.005855050106001617,https://leetcode.com/problems/min-stack,"Stack, Design"
EASY,Happy Number,49.5,0.0060115475159581745,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers, Floyd's Cycle Finding Algorithm"
EASY,Reverse Linked List,49.5,0.00809420240611855,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Product of Array Except Self,49.5,0.006916454363650314,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Coin Change,49.5,0.004897339390553551,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
MEDIUM,Single Element in a Sorted Array,49.5,0.005939555398935895,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
EASY,Binary Search,49.5,0.006130284997611573,https://leetcode.com/problems/binary-search,"Array, Binary Search"
EASY,Concatenation of Array,49.5,0.00900756132148634,https://leetcode.com/problems/concatenation-of-array,"Array, Simulation"
MEDIUM,Construct Binary Tree from Preorder and Inorder Traversal,49.5,0.006938062472503299,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
HARD,Basic Calculator,49.5,0.004711207001383739,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
MEDIUM,Unique Paths,49.5,0.006717320753484389,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Minimum Size Subarray Sum,49.5,0.005261700277893023,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Integer to Roman,46.2,0.007149620593872541,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
EASY,Find the Index of the First Occurrence in a String,46.2,0.004716740635630281,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching, Z Algorithm, Knuth–Morris–Pratt Algorithm, Boyer–Moore String-Search Algorithm"
EASY,Search Insert Position,46.2,0.0052016563563754255,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
MEDIUM,Jump Game II,46.2,0.0043359459919640134,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Group Anagrams,46.2,0.007312900794903427,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
