Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.0058009569065051395,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Add Two Numbers,81.4,0.00491330966770989,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Longest Palindromic Substring,80.5,0.0038471120984698874,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Longest Substring Without Repeating Characters,79.7,0.0039779465199704395,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Trapping Rain Water,78.7,0.006802852880710293,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,LRU Cache,77.9,0.004786886321880775,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Best Time to Buy and Sell Stock,77.7,0.005725127893111592,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Median of Two Sorted Arrays,75.2,0.004736979963874208,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,3Sum,74.9,0.003969312443673831,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Maximum Subarray,74.9,0.005373543161064693,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Merge Sorted Array,74.3,0.005552795361426026,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Number of Islands,73.3,0.006496045595930192,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Subarray Sum Equals K,73.3,0.004798003846179368,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Merge Intervals,73.1,0.005257646418354588,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
EASY,Longest Common Prefix,71.7,0.004818722323606658,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Palindrome Number,71.6,0.006087450999166423,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Container With Most Water,71.4,0.006064829842522907,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Valid Parentheses,71.4,0.004472564577393003,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Remove Duplicates from Sorted Array,70.8,0.006356308944076769,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Majority Element,70.4,0.006648700923500386,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm"
MEDIUM,Group Anagrams,70.0,0.007312900794903427,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Roman to Integer,69.2,0.006704941751145893,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Search in Rotated Sorted Array,68.5,0.004546228086994554,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Next Permutation,66.9,0.004595894196110162,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Rotate Image,66.7,0.008057030023943944,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Spiral Matrix,66.7,0.005762715963602771,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Climbing Stairs,66.5,0.005428138838327141,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Merge Two Sorted Lists,66.2,0.006874749834652867,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Create Hello World Function,65.7,0.008191597892549411,https://leetcode.com/problems/create-hello-world-function,
HARD,Merge k Sorted Lists,65.2,0.006029394737326398,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, Tournament Sort"
EASY,Reverse Linked List,65.2,0.00809420240611855,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Merge Strings Alternately,65.2,0.008214734933686404,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String"
MEDIUM,Koko Eating Bananas,64.9,0.0050395931681862126,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Generate Parentheses,64.7,0.007906617395717882,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
MEDIUM,Product of Array Except Self,64.4,0.006916454363650314,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
EASY,Move Zeroes,64.4,0.006426540363651741,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Sort Colors,64.1,0.007016879048173766,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting, Quicksort, Bubble Sort"
MEDIUM,Reverse Integer,63.0,0.003236618481634047,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Longest Consecutive Sequence,62.7,0.004720833110065445,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
HARD,Reverse Nodes in k-Group,62.0,0.006696562856773472,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Find Peak Element,62.0,0.0047140579695030055,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
EASY,Valid Anagram,62.0,0.006853254068880933,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Rotate Array,61.7,0.004532008665203593,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Kth Largest Element in an Array,60.4,0.006924374681224585,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
EASY,Recyclable and Low Fat Products,60.0,0.00886324136620424,https://leetcode.com/problems/recyclable-and-low-fat-products,Database
EASY,Valid Palindrome,59.7,0.0054070499205451225,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Single Element in a Sorted Array,59.7,0.005939555398935895,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
HARD,Serialize and Deserialize Binary Tree,59.3,0.00610284664919484,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
MEDIUM,House Robber,59.0,0.0053502690930537075,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Letter Combinations of a Phone Number,58.6,0.00666599875655181,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Jump Game,58.6,0.004138482349990174,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Reverse Words in a String,58.6,0.005753061273208931,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
HARD,N-Queens,58.2,0.007626983929720488,https://leetcode.com/problems/n-queens,"Array, Backtracking, Algorithm X"
EASY,Contains Duplicate,57.8,0.006462906522501603,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
MEDIUM,Rotting Oranges,57.4,0.005927628246549014,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
EASY,Search Insert Position,57.0,0.0052016563563754255,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
EASY,Remove Element,56.6,0.006237185871662675,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
MEDIUM,Set Matrix Zeroes,56.6,0.006348235344997938,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Meeting Rooms II,56.6,0.005277671515035725,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
HARD,Minimum Edge Reversals So Every Node Is Reachable,56.6,0.005979537703675635,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory"
MEDIUM,Permutations,56.1,0.008226147251178878,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Min Stack,56.1,0.005855050106001617,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,"Pow(x, n)",55.7,0.003917077429147729,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Copy List with Random Pointer,55.7,0.006350924649997945,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Top K Frequent Elements,55.7,0.006713896392811846,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
EASY,Find the Index of the First Occurrence in a String,55.2,0.004716740635630281,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching, Z Algorithm, Knuth–Morris–Pratt Algorithm, Boyer–Moore String-Search Algorithm"
MEDIUM,Subsets,55.2,0.008271570156203122,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Word Search,55.2,0.0047946906865729685,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
HARD,Largest Rectangle in Histogram,55.2,0.005066387716709447,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack, Range Minimum/Maximum Query"
EASY,Happy Number,55.2,0.0060115475159581745,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers, Floyd's Cycle Finding Algorithm"
MEDIUM,Longest Increasing Subsequence,55.2,0.005984857536590311,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming, Longest Increasing Subsequence"
MEDIUM,Coin Change,55.2,0.004897339390553551,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
HARD,Sliding Window Maximum,54.8,0.004910887861731836,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, Range Minimum/Maximum Query"
MEDIUM,Find First and Last Position of Element in Sorted Array,53.8,0.004950618836456947,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Jump Game II,53.8,0.0043359459919640134,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
HARD,Minimum Window Substring,53.8,0.004825493082709374,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Binary Tree Level Order Traversal,53.8,0.007329001297258806,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Binary Tree Zigzag Level Order Traversal,53.8,0.006432906491949339,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Lowest Common Ancestor of a Binary Tree,53.8,0.006995189177522382,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree, Binary Lifting, Lowest Common Ancestor"
HARD,Find Median from Data Stream,53.8,0.005487685181953533,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Longest Repeating Character Replacement,53.8,0.00604302486313581,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
MEDIUM,String to Integer (atoi),53.3,0.0021567182847849965,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Minimum Path Sum,53.3,0.0068742808789195595,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
MEDIUM,Daily Temperatures,53.3,0.0069056929993463936,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Integer to Roman,52.8,0.007149620593872541,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,4Sum,52.8,0.004145645999593137,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Remove Nth Node From End of List,52.8,0.0052391524656797295,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
MEDIUM,Search a 2D Matrix,52.8,0.005438016074911106,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Validate Binary Search Tree,52.8,0.0036206319940006175,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
EASY,Pascal's Triangle,52.8,0.007929398548511948,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
EASY,Linked List Cycle,52.8,0.005490608731594055,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers, Floyd's Cycle Finding Algorithm"
HARD,Integer to English Words,52.8,0.0035162830678028894,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
MEDIUM,String Compression,52.8,0.006060154441334584,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Permutation in String,52.8,0.0049521833278750906,https://leetcode.com/problems/permutation-in-string,"Hash Table, Two Pointers, String, Sliding Window"
EASY,Combine Two Tables,52.3,0.007987951725059264,https://leetcode.com/problems/combine-two-tables,Database
MEDIUM,Course Schedule,52.3,0.005204031790875026,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
EASY,Fibonacci Number,51.7,0.007452186341263647,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
MEDIUM,Max Consecutive Ones III,51.7,0.006827661609587484,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Word Break,51.1,0.004977888526934449,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization, Brute-Force Search"
MEDIUM,Unique Paths,50.6,0.006717320753484389,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Restore IP Addresses,50.6,0.005679399148673051,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,Course Schedule II,50.6,0.005608803536414847,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
HARD,Basic Calculator,50.6,0.004711207001383739,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
EASY,Add Two Integers,50.6,0.00880908568196026,https://leetcode.com/problems/add-two-integers,Math
MEDIUM,Combination Sum,50.0,0.007700612985083521,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
HARD,First Missing Positive,50.0,0.004354292161618131,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
EASY,Add Binary,50.0,0.005848485275135622,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
EASY,Symmetric Tree,50.0,0.006182585242327735,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Gas Station,50.0,0.004855707059904421,https://leetcode.com/problems/gas-station,"Array, Greedy"
EASY,Single Number,50.0,0.007815796034783776,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,Find Minimum in Rotated Sorted Array,50.0,0.0055170616075949875,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
EASY,Maximum Depth of Binary Tree,49.3,0.007852246638497637,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Binary Tree Maximum Path Sum,49.3,0.004266475440835114,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree, DP on Trees"
MEDIUM,Minimum Size Subarray Sum,49.3,0.005261700277893023,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Zigzag Conversion,48.7,0.005489179264677859,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,Swap Nodes in Pairs,48.7,0.007010500856735466,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
EASY,Plus One,48.7,0.005045043128608226,https://leetcode.com/problems/plus-one,"Array, Math"
MEDIUM,Best Time to Buy and Sell Stock II,48.0,0.007150178723807184,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Palindrome Partitioning,48.0,0.00745050600076674,https://leetcode.com/problems/palindrome-partitioning,"String, Dynamic Programming, Backtracking"
HARD,Candy,48.0,0.004904712937047853,https://leetcode.com/problems/candy,"Array, Greedy"
MEDIUM,Two Sum II - Input Array Is Sorted,48.0,0.006568610332072161,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,"Array, Two Pointers, Binary Search"
EASY,Rising Temperature,48.0,0.005193934311857248,https://leetcode.com/problems/rising-temperature,Database
EASY,Isomorphic Strings,48.0,0.004892120770926258,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
EASY,Missing Number,48.0,0.007251665417263012,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
EASY,Intersection of Two Arrays,48.0,0.007820162182954305,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
HARD,Regular Expression Matching,47.3,0.00315764548557563,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
HARD,Longest Valid Parentheses,47.3,0.003950329548564074,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack, Bracket Sequences"
HARD,Sudoku Solver,47.3,0.00655862679929366,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix, Algorithm X, Dancing Links"
