Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Airplane Seat Assignment Probability,100.0,0.0067578142172594205,https://leetcode.com/problems/airplane-seat-assignment-probability,"Math, Dynamic Programming, Brainteaser, Probability and Statistics"
MEDIUM,Zigzag Conversion,89.4,0.005489179264677859,https://leetcode.com/problems/zigzag-conversion,String
EASY,Backspace String Compare,77.9,0.00501727156043414,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
MEDIUM,Top K Frequent Elements,68.8,0.006713896392811846,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
EASY,Best Time to Buy and Sell Stock,68.8,0.005725127893111592,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Battleships in a Board,68.8,0.0077730257245265865,https://leetcode.com/problems/battleships-in-a-board,"Array, Depth-First Search, Matrix"
MEDIUM,Number of Ways to Build Sturdy Brick Wall,68.8,0.0049533478365965675,https://leetcode.com/problems/number-of-ways-to-build-sturdy-brick-wall,"Array, Dynamic Programming, Bit Manipulation, Bitmask"
MEDIUM,Permutations,68.8,0.008226147251178878,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Minimum Number of Swaps to Make the String Balanced,68.8,0.007804356967066127,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced,"Two Pointers, String, Stack, Greedy, Bracket Sequences"
EASY,Two Sum,68.8,0.0058009569065051395,https://leetcode.com/problems/two-sum,"Array, Hash Table"
