Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Implement Trie (Prefix Tree),100.0,0.006991493762135701,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Word Break,97.1,0.004977888526934449,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization, Brute-Force Search"
EASY,Intersection of Two Arrays,97.1,0.007820162182954305,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
MEDIUM,Snapshot Array,97.1,0.0036804521594194805,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design, Persistent Data Structure"
MEDIUM,LRU Cache,89.9,0.004786886321880775,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Merge k Sorted Lists,85.3,0.006029394737326398,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, Tournament Sort"
HARD,Text Justification,85.3,0.005189781309297195,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Web Crawler Multithreaded,79.7,0.005133506440324623,https://leetcode.com/problems/web-crawler-multithreaded,"Depth-First Search, Breadth-First Search, Concurrency"
HARD,Convert JSON String to Object,79.7,0.006178861788617886,https://leetcode.com/problems/convert-json-string-to-object,
MEDIUM,Insert Interval,72.6,0.004581213795777891,https://leetcode.com/problems/insert-interval,Array
MEDIUM,Stock Price Fluctuation ,72.6,0.004925273628977333,https://leetcode.com/problems/stock-price-fluctuation,"Hash Table, Design, Heap (Priority Queue), Data Stream, Ordered Set"
HARD,Sliding Window Maximum,72.6,0.004910887861731836,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, Range Minimum/Maximum Query"
MEDIUM,Course Schedule II,72.6,0.005608803536414847,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Merge Intervals,72.6,0.005257646418354588,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
EASY,Merge Two Binary Trees,62.5,0.007914596999620434,https://leetcode.com/problems/merge-two-binary-trees,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Search in Rotated Sorted Array,62.5,0.004546228086994554,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
HARD,Design Search Autocomplete System,62.5,0.0050057343632813976,https://leetcode.com/problems/design-search-autocomplete-system,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Lowest Common Ancestor of a Binary Tree III,62.5,0.008301671948066684,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii,"Hash Table, Two Pointers, Tree, Binary Tree, Binary Lifting, Lowest Common Ancestor"
MEDIUM,String Compression,62.5,0.006060154441334584,https://leetcode.com/problems/string-compression,"Two Pointers, String"
HARD,Word Break II,62.5,0.0056024252519363705,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
EASY,Merge Two Sorted Lists,62.5,0.006874749834652867,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Clone Graph,62.5,0.006597999735064248,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph Theory"
MEDIUM,Time Based Key-Value Store,62.5,0.005012846207215244,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Compare Version Numbers,62.5,0.004686023999597036,https://leetcode.com/problems/compare-version-numbers,"Two Pointers, String"
EASY,Two Sum,62.5,0.0058009569065051395,https://leetcode.com/problems/two-sum,"Array, Hash Table"
