Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Best Time to Buy and Sell Stock,100.0,0.005725127893111592,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Two Sum,88.3,0.0058009569065051395,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Count Subarrays With Fixed Bounds,81.3,0.006917437440700361,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Array, Queue, Sliding Window, Monotonic Queue"
MEDIUM,Longest Substring Without Repeating Characters,71.5,0.0039779465199704395,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Copy List with Random Pointer,71.5,0.006350924649997945,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
EASY,First Unique Character in a String,71.5,0.006611194976843643,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,LRU Cache,64.6,0.004786886321880775,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Kth Largest Element in an Array,64.6,0.006924374681224585,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Group Anagrams,64.6,0.007312900794903427,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Stamping The Sequence,64.6,0.0062332055105808835,https://leetcode.com/problems/stamping-the-sequence,"String, Stack, Greedy, Queue"
MEDIUM,Make K-Subarray Sums Equal,64.6,0.003907926797656696,https://leetcode.com/problems/make-k-subarray-sums-equal,"Array, Math, Greedy, Sorting, Number Theory"
MEDIUM,Sort Colors,64.6,0.007016879048173766,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting, Quicksort, Bubble Sort"
EASY,Palindrome Number,64.6,0.006087450999166423,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Daily Temperatures,64.6,0.0069056929993463936,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Best Team With No Conflicts,54.8,0.00508197695729273,https://leetcode.com/problems/best-team-with-no-conflicts,"Array, Dynamic Programming, Sorting, Longest Increasing Subsequence"
MEDIUM,Contiguous Array,54.8,0.0052083122294663865,https://leetcode.com/problems/contiguous-array,"Array, Hash Table, Prefix Sum"
MEDIUM,Generate Parentheses,54.8,0.007906617395717882,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
MEDIUM,3Sum,54.8,0.003969312443673831,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Subarrays with K Different Integers,54.8,0.006886168876439561,https://leetcode.com/problems/subarrays-with-k-different-integers,"Array, Hash Table, Sliding Window, Counting"
EASY,Remove Duplicates from Sorted Array,54.8,0.006356308944076769,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Kth Missing Positive Number,54.8,0.006382801417311815,https://leetcode.com/problems/kth-missing-positive-number,"Array, Binary Search"
HARD,Minimum Number of Taps to Open to Water a Garden,54.8,0.005106341685817617,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
HARD,Candy,54.8,0.004904712937047853,https://leetcode.com/problems/candy,"Array, Greedy"
MEDIUM,Word Search,54.8,0.0047946906865729685,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Next Greater Element III,54.8,0.0035555144694796813,https://leetcode.com/problems/next-greater-element-iii,"Math, Two Pointers, String"
MEDIUM,Minimum Operations to Reduce X to Zero,54.8,0.004080892181307975,https://leetcode.com/problems/minimum-operations-to-reduce-x-to-zero,"Array, Hash Table, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Remove All Adjacent Duplicates in String II,54.8,0.006175710558084819,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
MEDIUM,Longest Common Subsequence,54.8,0.005947673813115264,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming, Longest Common Subsequence"
MEDIUM,Jump Game,54.8,0.004138482349990174,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Minimum Substring Partition of Equal Character Frequency,54.8,0.004025636223651081,https://leetcode.com/problems/minimum-substring-partition-of-equal-character-frequency,"Hash Table, String, Dynamic Programming, Counting"
EASY,Palindrome Linked List,54.8,0.0058607893924166096,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Spiral Matrix,54.8,0.005762715963602771,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Minimum Suffix Flips,54.8,0.007397087170700364,https://leetcode.com/problems/minimum-suffix-flips,"String, Greedy"
MEDIUM,Next Greater Element II,54.8,0.006900565186766373,https://leetcode.com/problems/next-greater-element-ii,"Array, Stack, Monotonic Stack"
MEDIUM,Sum of Subarray Minimums,54.8,0.0038950058234631466,https://leetcode.com/problems/sum-of-subarray-minimums,"Array, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Least Number of Unique Integers after K Removals,54.8,0.006393087879745849,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals,"Array, Hash Table, Greedy, Sorting, Counting"
MEDIUM,Longest Palindromic Substring,54.8,0.0038471120984698874,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Maximum Subarray,54.8,0.005373543161064693,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Majority Element,54.8,0.006648700923500386,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm"
MEDIUM,Reorder List,54.8,0.006600058973491128,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Maximum Product Subarray,54.8,0.0036892267403277725,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Remove Nth Node From End of List,54.8,0.0052391524656797295,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
