Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Best Time to Buy and Sell Stock,100.0,0.005725127893111592,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Best Team With No Conflicts,93.3,0.00508197695729273,https://leetcode.com/problems/best-team-with-no-conflicts,"Array, Dynamic Programming, Sorting, Longest Increasing Subsequence"
EASY,Minimum Cost to Move Chips to The Same Position,90.7,0.007313126145009821,https://leetcode.com/problems/minimum-cost-to-move-chips-to-the-same-position,"Array, Math, Greedy"
EASY,Two Sum,87.7,0.0058009569065051395,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Find the Longest Valid Obstacle Course at Each Position,87.7,0.006254407639615557,https://leetcode.com/problems/find-the-longest-valid-obstacle-course-at-each-position,"Array, Binary Search, Binary Indexed Tree, Longest Increasing Subsequence"
MEDIUM,Minimum Number of Lines to Cover Points,87.7,0.004420562152412446,https://leetcode.com/problems/minimum-number-of-lines-to-cover-points,"Array, Hash Table, Math, Dynamic Programming, Backtracking, Bit Manipulation, Geometry, Bitmask"
EASY,Find Subarrays With Equal Sum,87.7,0.006728880751060174,https://leetcode.com/problems/find-subarrays-with-equal-sum,"Array, Hash Table"
EASY,The Employee That Worked on the Longest Task,87.7,0.005171607307076602,https://leetcode.com/problems/the-employee-that-worked-on-the-longest-task,Array
MEDIUM,Find The Original Array of Prefix Xor,87.7,0.00884472807052677,https://leetcode.com/problems/find-the-original-array-of-prefix-xor,"Array, Bit Manipulation"
HARD,Count Subarrays With Fixed Bounds,80.4,0.006917437440700361,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Array, Queue, Sliding Window, Monotonic Queue"
MEDIUM,Delete and Earn,80.4,0.00574781085384071,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming"
MEDIUM,Copy List with Random Pointer,75.7,0.006350924649997945,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Longest Substring Without Repeating Characters,70.1,0.0039779465199704395,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Merge Intervals,70.1,0.005257646418354588,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,LRU Cache,70.1,0.004786886321880775,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Palindrome Number,70.1,0.006087450999166423,https://leetcode.com/problems/palindrome-number,Math
EASY,First Unique Character in a String,70.1,0.006611194976843643,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,Jump Game,62.8,0.004138482349990174,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Sort Colors,62.8,0.007016879048173766,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting, Quicksort, Bubble Sort"
MEDIUM,Kth Largest Element in an Array,62.8,0.006924374681224585,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Group Anagrams,62.8,0.007312900794903427,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Remove Duplicates from Sorted Array,62.8,0.006356308944076769,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
HARD,Stamping The Sequence,62.8,0.0062332055105808835,https://leetcode.com/problems/stamping-the-sequence,"String, Stack, Greedy, Queue"
MEDIUM,Make K-Subarray Sums Equal,62.8,0.003907926797656696,https://leetcode.com/problems/make-k-subarray-sums-equal,"Array, Math, Greedy, Sorting, Number Theory"
MEDIUM,Spiral Matrix,62.8,0.005762715963602771,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Maximum Product Subarray,62.8,0.0036892267403277725,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Daily Temperatures,62.8,0.0069056929993463936,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Remove Nth Node From End of List,62.8,0.0052391524656797295,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
MEDIUM,Contiguous Array,52.6,0.0052083122294663865,https://leetcode.com/problems/contiguous-array,"Array, Hash Table, Prefix Sum"
MEDIUM,3Sum,52.6,0.003969312443673831,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Subarrays with K Different Integers,52.6,0.006886168876439561,https://leetcode.com/problems/subarrays-with-k-different-integers,"Array, Hash Table, Sliding Window, Counting"
MEDIUM,Generate Parentheses,52.6,0.007906617395717882,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
EASY,Kth Missing Positive Number,52.6,0.006382801417311815,https://leetcode.com/problems/kth-missing-positive-number,"Array, Binary Search"
MEDIUM,Word Search,52.6,0.0047946906865729685,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Minimum Operations to Reduce X to Zero,52.6,0.004080892181307975,https://leetcode.com/problems/minimum-operations-to-reduce-x-to-zero,"Array, Hash Table, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Remove All Adjacent Duplicates in String II,52.6,0.006175710558084819,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
MEDIUM,Longest Common Subsequence,52.6,0.005947673813115264,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming, Longest Common Subsequence"
MEDIUM,Next Greater Element III,52.6,0.0035555144694796813,https://leetcode.com/problems/next-greater-element-iii,"Math, Two Pointers, String"
MEDIUM,Minimum Substring Partition of Equal Character Frequency,52.6,0.004025636223651081,https://leetcode.com/problems/minimum-substring-partition-of-equal-character-frequency,"Hash Table, String, Dynamic Programming, Counting"
MEDIUM,Minimum Suffix Flips,52.6,0.007397087170700364,https://leetcode.com/problems/minimum-suffix-flips,"String, Greedy"
MEDIUM,Next Greater Element II,52.6,0.006900565186766373,https://leetcode.com/problems/next-greater-element-ii,"Array, Stack, Monotonic Stack"
HARD,Minimum Number of Taps to Open to Water a Garden,52.6,0.005106341685817617,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
MEDIUM,Least Number of Unique Integers after K Removals,52.6,0.006393087879745849,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals,"Array, Hash Table, Greedy, Sorting, Counting"
HARD,Candy,52.6,0.004904712937047853,https://leetcode.com/problems/candy,"Array, Greedy"
MEDIUM,Longest Palindromic Substring,52.6,0.0038471120984698874,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Reorder List,52.6,0.006600058973491128,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
EASY,Palindrome Linked List,52.6,0.0058607893924166096,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Longest Increasing Subsequence,52.6,0.005984857536590311,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming, Longest Increasing Subsequence"
EASY,Majority Element,52.6,0.006648700923500386,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm"
MEDIUM,Sum of Subarray Minimums,52.6,0.0038950058234631466,https://leetcode.com/problems/sum-of-subarray-minimums,"Array, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Coin Change,52.6,0.004897339390553551,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
EASY,Shuffle the Array,52.6,0.008869461172012812,https://leetcode.com/problems/shuffle-the-array,Array
MEDIUM,Longest Consecutive Sequence,52.6,0.004720833110065445,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Container With Most Water,52.6,0.006064829842522907,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Maximum Subarray,52.6,0.005373543161064693,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Top K Frequent Elements,52.6,0.006713896392811846,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Count of Range Sum,52.6,0.00396135774266334,https://leetcode.com/problems/count-of-range-sum,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set, Treap"
HARD,Integer to English Words,52.6,0.0035162830678028894,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
HARD,Longest Valid Parentheses,52.6,0.003950329548564074,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack, Bracket Sequences"
EASY,Fibonacci Number,52.6,0.007452186341263647,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
EASY,Reverse Linked List,52.6,0.00809420240611855,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Maximum Length Substring With Two Occurrences,52.6,0.007766266290217097,https://leetcode.com/problems/maximum-length-substring-with-two-occurrences,"Hash Table, String, Sliding Window"
