Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Maximum Number of Visible Points,100.0,0.003839241207421767,https://leetcode.com/problems/maximum-number-of-visible-points,"Array, Math, Geometry, Sliding Window, Sorting"
MEDIUM,Subrectangle Queries,91.2,0.008645542032638807,https://leetcode.com/problems/subrectangle-queries,"Array, Design, Matrix"
MEDIUM,Random Pick with Weight,88.3,0.0049211970223146575,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Evaluate Division,76.2,0.0064507334533413655,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Shortest Path, Bellman–Ford Algorithm, Floyd–Warshall Algorithm"
HARD,Shortest Path in a Grid with Obstacles Elimination,69.9,0.004663196154145178,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,"Array, Breadth-First Search, Matrix"
MEDIUM,Interval List Intersections,61.1,0.007314302081344282,https://leetcode.com/problems/interval-list-intersections,"Array, Two Pointers, Sweep Line"
MEDIUM,Asteroid Collision,61.1,0.0048763237039410896,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Sparse Matrix Multiplication,61.1,0.006934051069363004,https://leetcode.com/problems/sparse-matrix-multiplication,"Array, Hash Table, Matrix, Linear Algebra"
MEDIUM,Target Sum,61.1,0.005273124567948673,https://leetcode.com/problems/target-sum,"Array, Dynamic Programming, Backtracking, Knapsack Problem, 0-1 Knapsack"
HARD,Alien Dictionary,61.1,0.0037286585868950483,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
MEDIUM,Remove Sub-Folders from the Filesystem,61.1,0.007860429223690901,https://leetcode.com/problems/remove-sub-folders-from-the-filesystem,"Array, String, Depth-First Search, Trie"
MEDIUM,Minesweeper,61.1,0.006890005675052404,https://leetcode.com/problems/minesweeper,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Dot Product of Two Sparse Vectors,61.1,0.00898920702566936,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,"Array, Hash Table, Two Pointers, Design, Linear Algebra"
