Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Merge Intervals,100.0,0.005257651100699819,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
EASY,Convert Binary Number in a Linked List to Integer,100.0,0.008239744042841557,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer,"Linked List, Math"
HARD,Sliding Window Maximum,84.1,0.004910887910387497,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, Range Minimum/Maximum Query"
MEDIUM,LRU Cache,84.1,0.004786894555695717,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Group Anagrams,84.1,0.007312901678615539,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Increasing Triplet Subsequence,84.1,0.003958439246805418,https://leetcode.com/problems/increasing-triplet-subsequence,"Array, Greedy, Longest Increasing Subsequence"
MEDIUM,Binary Tree Zigzag Level Order Traversal,76.0,0.006432908926198197,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Decode String,76.0,0.006309047277825921,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Search a 2D Matrix,76.0,0.0054380183449820665,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Task Scheduler,76.0,0.006363492940458064,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Spiral Matrix,76.0,0.005762716576563462,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
HARD,Binary Tree Maximum Path Sum,76.0,0.004266471234325904,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree, DP on Trees"
HARD,Maximum Frequency Stack,76.0,0.006704403224897107,https://leetcode.com/problems/maximum-frequency-stack,"Hash Table, Stack, Design, Ordered Set"
HARD,Valid Number,76.0,0.0023440163677049667,https://leetcode.com/problems/valid-number,String
MEDIUM,Rotate Image,76.0,0.008057031035959127,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Reverse Linked List II,76.0,0.005217657509171903,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
HARD,Longest Increasing Path in a Matrix,76.0,0.005695044190103717,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Memoization, Matrix, Directed Acyclic Graph"
MEDIUM,Best Sightseeing Pair,76.0,0.006270116888531939,https://leetcode.com/problems/best-sightseeing-pair,"Array, Dynamic Programming"
