Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Restore IP Addresses,100.0,0.005679399148673051,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,Koko Eating Bananas,100.0,0.005039594537339528,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,LRU Cache,91.1,0.004786894555695717,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Special Binary String,91.1,0.007943574057109139,https://leetcode.com/problems/special-binary-string,"String, Divide and Conquer, Sorting"
MEDIUM,Longest Consecutive Sequence,91.1,0.004720839544028881,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
EASY,Best Time to Buy and Sell Stock,91.1,0.005725129719190818,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Merge k Sorted Lists,78.7,0.006029397781967888,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, Tournament Sort"
EASY,Minimum Absolute Difference,78.7,0.007518442569249718,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
EASY,Palindrome Linked List,78.7,0.00586079097148719,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Group Anagrams,78.7,0.007312901678615539,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Network Delay Time,78.7,0.0061357168148367894,https://leetcode.com/problems/network-delay-time,"Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path, Dijkstra's Algorithm"
MEDIUM,Design Circular Queue,78.7,0.005521272128251863,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
MEDIUM,Binary Subarrays With Sum,78.7,0.006966338534609473,https://leetcode.com/problems/binary-subarrays-with-sum,"Array, Hash Table, Sliding Window, Prefix Sum"
MEDIUM,Break a Palindrome,78.7,0.0051624215671782535,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
MEDIUM,Copy List with Random Pointer,78.7,0.006350924649997945,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
EASY,Linked List Cycle,78.7,0.005490605524880996,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers, Floyd's Cycle Finding Algorithm"
HARD,Trapping Rain Water,78.7,0.0068028521632073945,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Top K Frequent Elements,78.7,0.006713897544786601,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Number of Islands,78.7,0.0064960456714976845,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
