Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Special Binary String,100.0,0.007943574057109139,https://leetcode.com/problems/special-binary-string,"String, Divide and Conquer, Sorting"
MEDIUM,LRU Cache,85.8,0.004786894555695717,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,84.3,0.003977950880255266,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Best Time to Buy and Sell Stock,82.8,0.005725129719190818,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Two Sum,79.3,0.005800957769754739,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Valid Parentheses,77.3,0.004472564740062016,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Last Stone Weight,75.1,0.006673538247217345,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
MEDIUM,Maximum Subarray,75.1,0.005373542913750425,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,Merge k Sorted Lists,75.1,0.006029397781967888,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, Tournament Sort"
MEDIUM,Maximize Greatness of an Array,75.1,0.006211726338968405,https://leetcode.com/problems/maximize-greatness-of-an-array,"Array, Two Pointers, Greedy, Sorting"
MEDIUM,Search in Rotated Sorted Array,72.8,0.004546229452043218,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Group Anagrams,72.8,0.007312901678615539,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Fizz Buzz,72.8,0.007580836312399159,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
MEDIUM,Number of Islands,70.1,0.0064960456714976845,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Reverse Bits,67.1,0.006912627812860467,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
MEDIUM,Dot Product of Two Sparse Vectors,67.1,0.00898920702566936,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,"Array, Hash Table, Two Pointers, Design, Linear Algebra"
MEDIUM,Container With Most Water,67.1,0.0060648289121009525,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
HARD,Trapping Rain Water,63.6,0.0068028521632073945,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Restore IP Addresses,63.6,0.005679399148673051,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,Find The Original Array of Prefix Xor,63.6,0.008844733211695073,https://leetcode.com/problems/find-the-original-array-of-prefix-xor,"Array, Bit Manipulation"
MEDIUM,Merge Intervals,59.5,0.005257651100699819,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Find the Duplicate Number,59.5,0.0064769336188518845,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation, Pigeonhole Principle, Floyd's Cycle Finding Algorithm"
MEDIUM,Reverse Words in a String,59.5,0.005753063560076507,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Unique Paths II,59.5,0.004494302139905917,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
