Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Special Binary String,100.0,0.007943574057109139,https://leetcode.com/problems/special-binary-string,"String, Divide and Conquer, Sorting"
MEDIUM,LRU Cache,87.5,0.004786894555695717,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Best Time to Buy and Sell Stock,85.0,0.005725129719190818,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,83.6,0.003977950880255266,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Two Sum,78.9,0.005800957769754739,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Valid Parentheses,77.1,0.004472564740062016,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
HARD,Merge k Sorted Lists,77.1,0.006029397781967888,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, Tournament Sort"
MEDIUM,Group Anagrams,75.1,0.007312901678615539,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Maximize Greatness of an Array,75.1,0.006211726338968405,https://leetcode.com/problems/maximize-greatness-of-an-array,"Array, Two Pointers, Greedy, Sorting"
MEDIUM,Maximum Subarray,73.0,0.005373542913750425,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Last Stone Weight,73.0,0.006673538247217345,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
MEDIUM,Number of Islands,73.0,0.0064960456714976845,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Minimum Operations to Reduce an Integer to 0,73.0,0.006317560635285427,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,"Dynamic Programming, Greedy, Bit Manipulation"
MEDIUM,Restore IP Addresses,73.0,0.005679399148673051,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,Search in Rotated Sorted Array,70.6,0.004546229452043218,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Fizz Buzz,70.6,0.007580836312399159,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
HARD,Trapping Rain Water,67.9,0.0068028521632073945,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Reverse Bits,67.9,0.006912627812860467,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
HARD,Maximum Number of Visible Points,67.9,0.003839241207421767,https://leetcode.com/problems/maximum-number-of-visible-points,"Array, Math, Geometry, Sliding Window, Sorting"
MEDIUM,Dot Product of Two Sparse Vectors,64.9,0.00898920702566936,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,"Array, Hash Table, Two Pointers, Design, Linear Algebra"
MEDIUM,Container With Most Water,64.9,0.0060648289121009525,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Merge Intervals,61.4,0.005257651100699819,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Copy List with Random Pointer,61.4,0.006350924649997945,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Find the Duplicate Number,61.4,0.0064769336188518845,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation, Pigeonhole Principle, Floyd's Cycle Finding Algorithm"
MEDIUM,4Sum,61.4,0.004145646602750062,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Top K Frequent Elements,61.4,0.006713897544786601,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Find The Original Array of Prefix Xor,61.4,0.008844733211695073,https://leetcode.com/problems/find-the-original-array-of-prefix-xor,"Array, Bit Manipulation"
