Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004786899429208218,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,All Nodes Distance K in Binary Tree,89.5,0.0068001123805607674,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Group Anagrams,89.5,0.0073129034460351705,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Insert Delete GetRandom O(1),82.0,0.005548628566042478,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
HARD,Find Median from Data Stream,82.0,0.005487688192821134,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Longest Consecutive Sequence,82.0,0.004720840759581663,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Simple Bank System,82.0,0.0069569251305521326,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
HARD,Median of Two Sorted Arrays,71.4,0.004736982113300721,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Task Scheduler,71.4,0.006363492940458064,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Making File Names Unique,71.4,0.0038893113083810138,https://leetcode.com/problems/making-file-names-unique,"Array, Hash Table, String"
MEDIUM,Merge Intervals,71.4,0.005257653378270721,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Range Sum Query 2D - Immutable,71.4,0.005883569201135158,https://leetcode.com/problems/range-sum-query-2d-immutable,"Array, Design, Matrix, Prefix Sum"
MEDIUM,Reverse Substrings Between Each Pair of Parentheses,71.4,0.007208309396858571,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,"String, Stack, Bracket Sequences"
HARD,Word Ladder II,71.4,0.0027962682264301964,https://leetcode.com/problems/word-ladder-ii,"Hash Table, String, Backtracking, Breadth-First Search, Bidirectional Search"
HARD,Word Ladder,71.4,0.004632630852158116,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search, Bidirectional Search"
