Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Design Memory Allocator,100.0,0.005055771602010812,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
MEDIUM,Design SQL,97.3,0.006371461252502145,https://leetcode.com/problems/design-sql,"Array, Hash Table, String, Design"
MEDIUM,Encode and Decode Strings,87.4,0.005185198536435897,https://leetcode.com/problems/encode-and-decode-strings,"Array, String, Design"
MEDIUM,Flatten Nested List Iterator,82.0,0.006582862080460586,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
MEDIUM,Rotting Oranges,82.0,0.005927620556931643,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Time Based Key-Value Store,77.5,0.005012839655549692,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,IP to CIDR,77.5,0.0053822733423545335,https://leetcode.com/problems/ip-to-cidr,"String, Bit Manipulation"
MEDIUM,Simplify Path,63.3,0.0051221297898185305,https://leetcode.com/problems/simplify-path,"String, Stack"
HARD,Design Excel Sum Formula,63.3,0.003949866908064186,https://leetcode.com/problems/design-excel-sum-formula,"Array, Hash Table, String, Graph Theory, Design, Topological Sort, Matrix"
EASY,Largest Local Values in a Matrix,49.1,0.008770754281991734,https://leetcode.com/problems/largest-local-values-in-a-matrix,"Array, Matrix"
MEDIUM,Asteroid Collision,49.1,0.004876328214898545,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
HARD,Trapping Rain Water,49.1,0.006802852661635186,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Design Spreadsheet,49.1,0.007353269253589653,https://leetcode.com/problems/design-spreadsheet,"Array, Hash Table, String, Design, Matrix"
MEDIUM,Design Hit Counter,49.1,0.006974266457893663,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Design Authentication Manager,49.1,0.0058670256372037564,https://leetcode.com/problems/design-authentication-manager,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Snapshot Array,49.1,0.0036804428081782816,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design, Persistent Data Structure"
MEDIUM,LRU Cache,49.1,0.004786899429208218,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
