Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004786899429208218,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Two Sum,91.2,0.005800959235324353,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Number of Islands,78.7,0.006496047816248886,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Diagonal Traverse,78.7,0.006736869300733381,https://leetcode.com/problems/diagonal-traverse,"Array, Matrix, Simulation"
MEDIUM,Time Based Key-Value Store,78.7,0.005012839655549692,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Merge In Between Linked Lists,78.7,0.008312766796484836,https://leetcode.com/problems/merge-in-between-linked-lists,Linked List
HARD,Minimum Window Substring,78.7,0.0048255040385126804,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Open the Lock,78.7,0.0061504407369465655,https://leetcode.com/problems/open-the-lock,"Array, Hash Table, String, Breadth-First Search, Bidirectional Search"
MEDIUM,Sum Root to Leaf Numbers,78.7,0.0070273212234085655,https://leetcode.com/problems/sum-root-to-leaf-numbers,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Binary Tree Right Side View,78.7,0.007097971234567457,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Search in Rotated Sorted Array,78.7,0.004546230134566589,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Two Sum II - Input Array Is Sorted,78.7,0.0065686047193967,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,"Array, Two Pointers, Binary Search"
MEDIUM,Maximal Square,78.7,0.005074673827399289,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Group Anagrams,78.7,0.0073129034460351705,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
