Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004786899429208218,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,85.8,0.003977953357193677,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Number of Islands,84.0,0.006496047816248886,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Two Sum,81.3,0.005800959235324353,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Group Anagrams,81.3,0.0073129034460351705,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Top K Frequent Elements,77.4,0.006713896919128278,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Sliding Window Maximum,75.6,0.004910889494346133,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, Range Minimum/Maximum Query"
HARD,Merge k Sorted Lists,74.6,0.006029399304286882,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, Tournament Sort"
EASY,Valid Parentheses,73.6,0.004472564770718473,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Spiral Matrix,70.2,0.005762717534317604,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Merge Intervals,70.2,0.005257653378270721,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
HARD,LFU Cache,67.6,0.005002959336524059,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Search in Rotated Sorted Array,66.2,0.004546230134566589,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Meeting Rooms II,66.2,0.005277668947265088,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
EASY,Reverse Linked List,64.6,0.00809420659886925,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Longest Palindromic Substring,63.0,0.0038471129830067756,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Min Stack,63.0,0.005855048327317652,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Remove All Adjacent Duplicates in String II,63.0,0.00617572128226088,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
MEDIUM,Container With Most Water,61.2,0.00606483008604204,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,3Sum,61.2,0.003969317477476579,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Maximum Subarray,61.2,0.005373543308546309,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Asteroid Collision,61.2,0.004876328214898545,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
EASY,Minimum Absolute Difference,61.2,0.007518442569249718,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
EASY,Find Valid Pair of Adjacent Digits in String,61.2,0.006123317752996455,https://leetcode.com/problems/find-valid-pair-of-adjacent-digits-in-string,"Hash Table, String, Counting"
HARD,Trapping Rain Water,59.2,0.006802852661635186,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Longest Consecutive Sequence,59.2,0.004720840759581663,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
EASY,Valid Anagram,59.2,0.006853252743097908,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Design Authentication Manager,59.2,0.0058670256372037564,https://leetcode.com/problems/design-authentication-manager,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Generate Parentheses,57.0,0.007906618058724182,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
EASY,Best Time to Buy and Sell Stock,57.0,0.00572513154526733,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Course Schedule,57.0,0.005204037658165805,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
HARD,Find Median from Data Stream,57.0,0.005487688192821134,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Decode String,57.0,0.006309049123470236,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Rotting Oranges,57.0,0.005927620556931643,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
EASY,Roman to Integer,57.0,0.006704943539216276,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Koko Eating Bananas,57.0,0.005039594514761195,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
EASY,Longest Common Prefix,54.5,0.0048187228077142515,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
HARD,First Missing Positive,54.5,0.004354293786832879,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Sort Colors,54.5,0.00701687971856266,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting, Quicksort, Bubble Sort"
MEDIUM,Restore IP Addresses,54.5,0.005679378356648701,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
EASY,Majority Element,54.5,0.006648700202458986,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm"
MEDIUM,Binary Tree Right Side View,54.5,0.007097971234567457,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Delete Node in a BST,54.5,0.005525724452909002,https://leetcode.com/problems/delete-node-in-a-bst,"Tree, Binary Search Tree, Binary Tree"
MEDIUM,Contiguous Array,54.5,0.005208315372634217,https://leetcode.com/problems/contiguous-array,"Array, Hash Table, Prefix Sum"
HARD,Minimum One Bit Operations to Make Integers Zero,54.5,0.00782056825986315,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero,"Math, Dynamic Programming, Bit Manipulation, Recursion, Memoization"
MEDIUM,Maximum Number of Events That Can Be Attended,54.5,0.0039056367849819103,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Lowest Common Ancestor of a Binary Tree,54.5,0.006995196068788055,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree, Binary Lifting, Lowest Common Ancestor"
HARD,Median of Two Sorted Arrays,54.5,0.004736982113300721,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Simplify Path,54.5,0.0051221297898185305,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Binary Tree Zigzag Level Order Traversal,51.8,0.006432908926198197,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Kth Largest Element in an Array,51.8,0.006924377478382523,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Product of Array Except Self,51.8,0.006916454268884662,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Coin Change,51.8,0.004897339523699746,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
MEDIUM,Binary Tree Level Order Traversal,51.8,0.0073290034635443806,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
EASY,Degree of an Array,51.8,0.0058602424860898505,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
MEDIUM,Kth Smallest Element in a BST,51.8,0.007721483353175086,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
HARD,Vertical Order Traversal of a Binary Tree,51.8,0.005452702605905191,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
MEDIUM,Implement Trie (Prefix Tree),51.8,0.006991501608526299,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
HARD,Count the Number of Infection Sequences,51.8,0.0038393453573814297,https://leetcode.com/problems/count-the-number-of-infection-sequences,"Array, Math, Combinatorics, Fermat's Little Theorem"
MEDIUM,Zigzag Conversion,48.6,0.005489181376629676,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,Letter Combinations of a Phone Number,48.6,0.0066660057668589375,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Find First and Last Position of Element in Sorted Array,48.6,0.004950623079047325,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Gas Station,48.6,0.004855707352445752,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,Copy List with Random Pointer,48.6,0.006350924649997945,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
EASY,Move Zeroes,48.6,0.0064265434372959155,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Reverse Vowels of a String,48.6,0.006208607500670779,https://leetcode.com/problems/reverse-vowels-of-a-string,"Two Pointers, String"
EASY,Logger Rate Limiter,48.6,0.007688323322346132,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
MEDIUM,String Compression,48.6,0.0060601648227138726,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Time Based Key-Value Store,48.6,0.005012839655549692,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
HARD,Design In-Memory File System,48.6,0.004831368860605818,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
EASY,Diameter of Binary Tree,48.6,0.006608636729891667,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree, DP on Trees"
MEDIUM,Task Scheduler,48.6,0.006363492940458064,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Maximum Profit From Trading Stocks,48.6,0.004837233901890784,https://leetcode.com/problems/maximum-profit-from-trading-stocks,"Array, Dynamic Programming"
HARD,N-Queens,48.6,0.007626987581276251,https://leetcode.com/problems/n-queens,"Array, Backtracking, Algorithm X"
