Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004786899429208218,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Find the Longest Equal Subarray,86.7,0.003859559504858752,https://leetcode.com/problems/find-the-longest-equal-subarray,"Array, Hash Table, Binary Search, Sliding Window"
EASY,Logger Rate Limiter,78.7,0.007688323322346132,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
MEDIUM,Merge Intervals,75.2,0.005257653378270721,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Longest Substring Without Repeating Characters,71.1,0.003977953357193677,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,String Compression,71.1,0.0060601648227138726,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Group Anagrams,66.0,0.0073129034460351705,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Design HashMap,66.0,0.006675585749815106,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
MEDIUM,Search in Rotated Sorted Array,66.0,0.004546230134566589,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Minimum Number of Food Buckets to Feed the Hamsters,66.0,0.00484113520700564,https://leetcode.com/problems/minimum-number-of-food-buckets-to-feed-the-hamsters,"String, Dynamic Programming, Greedy"
MEDIUM,Decode String,66.0,0.006309049123470236,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
EASY,Merge Sorted Array,66.0,0.0055527979209336765,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
HARD,Median of Two Sorted Arrays,59.6,0.004736982113300721,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Binary Tree Level Order Traversal,59.6,0.0073290034635443806,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Min Stack,59.6,0.005855048327317652,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Integer to Roman,59.6,0.007149616525984358,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Top K Frequent Words,59.6,0.006050128817138653,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
MEDIUM,Insert Delete GetRandom O(1),59.6,0.005548628566042478,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Restore IP Addresses,59.6,0.005679378356648701,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
EASY,Longest Common Prefix,59.6,0.0048187228077142515,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Advantage Shuffle,59.6,0.005491762741256945,https://leetcode.com/problems/advantage-shuffle,"Array, Two Pointers, Greedy, Sorting"
MEDIUM,Reverse Linked List II,59.6,0.005217659298957344,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
EASY,Linked List Cycle,59.6,0.005490607592941645,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers, Floyd's Cycle Finding Algorithm"
MEDIUM,Add Two Numbers,59.6,0.004913311761302845,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Subarray Sum Equals K,59.6,0.0047980043533490425,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Meeting Rooms,50.5,0.005952703233554441,https://leetcode.com/problems/meeting-rooms,"Array, Sorting, Quicksort"
MEDIUM,Word Break,50.5,0.004977887613923577,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization, Brute-Force Search"
EASY,Two Sum,50.5,0.005800959235324353,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Merge Two Sorted Lists,50.5,0.006874750946546969,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
HARD,Sliding Window Maximum,50.5,0.004910889494346133,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, Range Minimum/Maximum Query"
HARD,Basic Calculator,50.5,0.004711213771316073,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
EASY,Invert Binary Tree,50.5,0.008036549149684248,https://leetcode.com/problems/invert-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
