Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Zigzag Conversion,100.0,0.005489181376629676,https://leetcode.com/problems/zigzag-conversion,String
EASY,Minimum Absolute Difference,94.7,0.007518442569249718,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
MEDIUM,Longest Increasing Subsequence,89.5,0.005984860165025026,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming, Longest Increasing Subsequence"
MEDIUM,LRU Cache,84.6,0.004786899429208218,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Find Words That Can Be Formed by Characters,82.7,0.007172403239229646,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters,"Array, Hash Table, String, Counting"
MEDIUM,Count Vowel Strings in Ranges,80.7,0.0067882455245642246,https://leetcode.com/problems/count-vowel-strings-in-ranges,"Array, String, Prefix Sum"
MEDIUM,Pythagorean Distance Nodes in a Tree,78.4,0.005801685595354334,https://leetcode.com/problems/pythagorean-distance-nodes-in-a-tree,"Tree, Breadth-First Search"
MEDIUM,Number of Islands,76.0,0.006496047816248886,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Product of Array Except Self,76.0,0.006916454268884662,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Maximum Number of Integers to Choose From a Range I,76.0,0.006800695569695293,https://leetcode.com/problems/maximum-number-of-integers-to-choose-from-a-range-i,"Array, Hash Table, Binary Search, Greedy, Sorting"
HARD,Maximum Frequency Score of a Subarray,76.0,0.003564929693961952,https://leetcode.com/problems/maximum-frequency-score-of-a-subarray,"Array, Hash Table, Math, Stack, Sliding Window"
MEDIUM,Meeting Scheduler,76.0,0.005520939734422881,https://leetcode.com/problems/meeting-scheduler,"Array, Two Pointers, Sorting"
MEDIUM,Maximal Square,76.0,0.005074673827399289,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Minimum Non-Zero Product of the Array Elements,73.2,0.0037640142491859162,https://leetcode.com/problems/minimum-non-zero-product-of-the-array-elements,"Math, Greedy, Recursion"
MEDIUM,Word Search,73.2,0.004794694641284366,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Smallest Greater Multiple Made of Two Digits,73.2,0.004813768755516329,https://leetcode.com/problems/smallest-greater-multiple-made-of-two-digits,"Math, Enumeration"
HARD,Number of Valid Move Combinations On Chessboard,73.2,0.0048433524173027995,https://leetcode.com/problems/number-of-valid-move-combinations-on-chessboard,"Array, String, Backtracking, Simulation"
HARD,Count Array Pairs Divisible by K,73.2,0.0031052952827015784,https://leetcode.com/problems/count-array-pairs-divisible-by-k,"Array, Hash Table, Math, Counting, Number Theory, Euclidean Algorithm, Greatest Common Divisor"
MEDIUM,Time Needed to Rearrange a Binary String,73.2,0.005356595004235639,https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string,"String, Dynamic Programming, Simulation"
EASY,Count the Number of Vowel Strings in Range,73.2,0.0074554541848472836,https://leetcode.com/problems/count-the-number-of-vowel-strings-in-range,"Array, String, Counting"
MEDIUM,Maximum Number of Integers to Choose From a Range II,73.2,0.003481049562682216,https://leetcode.com/problems/maximum-number-of-integers-to-choose-from-a-range-ii,"Array, Binary Search, Greedy, Sorting"
HARD,Paint House III,73.2,0.006128360812189423,https://leetcode.com/problems/paint-house-iii,"Array, Dynamic Programming"
MEDIUM,Maximum Sum Obtained of Any Permutation,73.2,0.004132216282626027,https://leetcode.com/problems/maximum-sum-obtained-of-any-permutation,"Array, Greedy, Sorting, Prefix Sum"
MEDIUM,Coin Change,73.2,0.004897339523699746,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
EASY,Two Sum,70.1,0.005800959235324353,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Group Anagrams,70.1,0.0073129034460351705,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Merge Intervals,70.1,0.005257653378270721,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Longest Substring Without Repeating Characters,66.4,0.003977953357193677,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Search in Rotated Sorted Array,66.4,0.004546230134566589,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Best Time to Buy and Sell Stock,66.4,0.00572513154526733,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Find Median from Data Stream,66.4,0.005487688192821134,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Pairs of Songs With Total Durations Divisible by 60,62.2,0.005352883952557965,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,"Array, Hash Table, Counting"
MEDIUM,Find the Smallest Divisor Given a Threshold,62.2,0.006660783105475889,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
MEDIUM,Maximum Subarray,62.2,0.005373543308546309,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Maximum Number of Events That Can Be Attended,62.2,0.0039056367849819103,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
EASY,Last Stone Weight,62.2,0.00667354270731866,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
MEDIUM,Asteroid Collision,62.2,0.004876328214898545,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Top K Frequent Elements,57.0,0.006713896919128278,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Subarray Sum Equals K,57.0,0.0047980043533490425,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Random Pick with Weight,57.0,0.0049211970223146575,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Palindromic Substrings,57.0,0.007312521438794459,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Longest Consecutive Sequence,57.0,0.004720840759581663,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Valid Sudoku,57.0,0.006495087216064225,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,3Sum Smaller,57.0,0.005138337968330907,https://leetcode.com/problems/3sum-smaller,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,Smallest String With Swaps,57.0,0.0060931572097144915,https://leetcode.com/problems/smallest-string-with-swaps,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union-Find, Sorting"
EASY,Valid Parentheses,50.3,0.004472564770718473,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Count Vowel Substrings of a String,50.3,0.007342379995375887,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
MEDIUM,Loud and Rich,50.3,0.006400431982103598,https://leetcode.com/problems/loud-and-rich,"Array, Depth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
MEDIUM,House Robber,50.3,0.005350272244619675,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Minimum Increment to Make Array Unique,50.3,0.006077435426310024,https://leetcode.com/problems/minimum-increment-to-make-array-unique,"Array, Greedy, Sorting, Counting"
MEDIUM,Find Peak Element,50.3,0.004714063877129557,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
EASY,Degree of an Array,50.3,0.0058602424860898505,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
