Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Min Stack,100.0,0.005855048327317652,https://leetcode.com/problems/min-stack,"Stack, Design"
EASY,Find Indices With Index and Value Difference I,94.3,0.006007395668251453,https://leetcode.com/problems/find-indices-with-index-and-value-difference-i,"Array, Two Pointers"
MEDIUM,Find Indices With Index and Value Difference II,94.3,0.0032738807274095777,https://leetcode.com/problems/find-indices-with-index-and-value-difference-ii,"Array, Two Pointers"
EASY,Remove All Adjacent Duplicates In String,94.3,0.0073868093900326505,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,"String, Stack"
MEDIUM,Longest Nice Subarray,94.3,0.0064783830476641095,https://leetcode.com/problems/longest-nice-subarray,"Array, Bit Manipulation, Sliding Window"
MEDIUM,Minimize Maximum of Array,94.3,0.004659440762070339,https://leetcode.com/problems/minimize-maximum-of-array,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
EASY,Number of Unequal Triplets in Array,94.3,0.0073515073909331905,https://leetcode.com/problems/number-of-unequal-triplets-in-array,"Array, Hash Table, Sorting"
MEDIUM,Maximum Transactions Without Negative Balance,94.3,0.004626948775055679,https://leetcode.com/problems/maximum-transactions-without-negative-balance,"Array, Greedy, Heap (Priority Queue)"
HARD,Lexicographically Smallest String After Deleting Duplicate Characters,94.3,0.0021225270782792905,https://leetcode.com/problems/lexicographically-smallest-string-after-deleting-duplicate-characters,"Hash Table, String, Stack, Greedy, Monotonic Stack"
MEDIUM,Linked List Cycle II,76.6,0.005888493280394539,https://leetcode.com/problems/linked-list-cycle-ii,"Hash Table, Linked List, Two Pointers, Floyd's Cycle Finding Algorithm"
MEDIUM,Longest Consecutive Sequence,76.6,0.004720840759581663,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
HARD,Trapping Rain Water,69.3,0.006802852661635186,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Reverse Linked List,69.3,0.00809420659886925,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Valid Parentheses,69.3,0.004472564770718473,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Search in Rotated Sorted Array,69.3,0.004546230134566589,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Longest Substring Without Repeating Characters,69.3,0.003977953357193677,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,String Compression,69.3,0.0060601648227138726,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Smallest Subsequence of Distinct Characters,69.3,0.007056504215069009,https://leetcode.com/problems/smallest-subsequence-of-distinct-characters,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,Container With Most Water,59.0,0.00606483008604204,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Longest Palindromic Substring,59.0,0.0038471129830067756,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Search a 2D Matrix,59.0,0.005438021423485451,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Remove Duplicate Letters,59.0,0.005427946677197792,https://leetcode.com/problems/remove-duplicate-letters,"String, Stack, Greedy, Monotonic Stack"
HARD,Burst Balloons,59.0,0.006419262527881141,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
MEDIUM,Car Pooling,59.0,0.005647491982413978,https://leetcode.com/problems/car-pooling,"Array, Sorting, Heap (Priority Queue), Simulation, Prefix Sum"
MEDIUM,Execute Asynchronous Functions in Parallel,59.0,0.007871137854100466,https://leetcode.com/problems/execute-asynchronous-functions-in-parallel,
MEDIUM,Ugly Number II,59.0,0.004976019496665163,https://leetcode.com/problems/ugly-number-ii,"Hash Table, Math, Dynamic Programming, Heap (Priority Queue)"
MEDIUM,Find the Duplicate Number,59.0,0.006476934462350802,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation, Pigeonhole Principle, Floyd's Cycle Finding Algorithm"
EASY,Best Time to Buy and Sell Stock,59.0,0.00572513154526733,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Generate Binary Strings Without Adjacent Zeros,59.0,0.00886455783534482,https://leetcode.com/problems/generate-binary-strings-without-adjacent-zeros,"String, Backtracking, Bit Manipulation"
