Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Reconstruct Itinerary,100.0,0.0044899816563326485,https://leetcode.com/problems/reconstruct-itinerary,"Array, String, Depth-First Search, Graph Theory, Sorting, Heap (Priority Queue), Eulerian Circuit, Eulerian Path, Semi-Eulerian Graph"
HARD,Optimal Account Balancing,93.9,0.005061702949890506,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
HARD,Expression Add Operators,87.8,0.004366070522025442,https://leetcode.com/problems/expression-add-operators,"Math, String, Backtracking"
MEDIUM,Shortest Way to Form String,87.8,0.006175938281676292,https://leetcode.com/problems/shortest-way-to-form-string,"Two Pointers, String, Binary Search, Greedy"
HARD,Bus Routes,85.3,0.004749628547527187,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
HARD,Split Array Largest Sum,82.4,0.0061192363981128475,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
HARD,Design Search Autocomplete System,70.5,0.0050057343632813976,https://leetcode.com/problems/design-search-autocomplete-system,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Coin Change,64.4,0.004897339523699746,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
MEDIUM,Delete Nodes And Return Forest,64.4,0.007248246540471741,https://leetcode.com/problems/delete-nodes-and-return-forest,"Array, Hash Table, Tree, Depth-First Search, Binary Tree"
MEDIUM,Design A Leaderboard,64.4,0.006804074911161337,https://leetcode.com/problems/design-a-leaderboard,"Hash Table, Design, Sorting"
MEDIUM,Multiply Strings,64.4,0.0044624051854162,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
MEDIUM,Put Boxes Into the Warehouse I,55.8,0.006794645436743604,https://leetcode.com/problems/put-boxes-into-the-warehouse-i,"Array, Greedy, Sorting"
MEDIUM,Rotting Oranges,55.8,0.005927620556931643,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Add Two Numbers II,55.8,0.00629473876242809,https://leetcode.com/problems/add-two-numbers-ii,"Linked List, Math, Stack"
