Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Reverse Linked List,100.0,0.008094208928167224,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
HARD,Reverse Nodes in k-Group,95.7,0.006696565534408489,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Number of Islands,90.5,0.0064960546166425515,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Two Sum,90.5,0.005800958083748111,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,84.3,0.003977956371317374,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,3Sum,84.3,0.003969316892474503,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Rotate Image,76.2,0.008057027271126817,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Remove Nth Node From End of List,76.2,0.0052391542573777825,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
EASY,Reverse Bits,76.2,0.006912627812860467,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
EASY,Power of Two,76.2,0.005042138020665411,https://leetcode.com/problems/power-of-two,"Math, Bit Manipulation, Recursion"
EASY,Valid Parentheses,76.2,0.00447256597772042,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Implement Queue using Stacks,76.2,0.00702313533180416,https://leetcode.com/problems/implement-queue-using-stacks,"Stack, Design, Queue"
EASY,Majority Element,76.2,0.006648702481329474,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm"
EASY,Rectangle Overlap,76.2,0.004698221857237491,https://leetcode.com/problems/rectangle-overlap,"Math, Geometry"
MEDIUM,LRU Cache,76.2,0.004786902323387324,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Count the Number of Fair Pairs,76.2,0.005258411286845087,https://leetcode.com/problems/count-the-number-of-fair-pairs,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,Design Circular Queue,76.2,0.005521272128251863,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
EASY,Linked List Cycle,76.2,0.005490608233839896,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers, Floyd's Cycle Finding Algorithm"
HARD,Count Array Pairs Divisible by K,76.2,0.0031052952827015784,https://leetcode.com/problems/count-array-pairs-divisible-by-k,"Array, Hash Table, Math, Counting, Number Theory, Euclidean Algorithm, Greatest Common Divisor"
EASY,Reverse String,76.2,0.008119742792555094,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
EASY,Move Zeroes,76.2,0.006426546343542256,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Climbing Stairs,64.8,0.005428136494606733,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Middle of the Linked List,64.8,0.00822762217230467,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers"
EASY,Is Subsequence,64.8,0.004934158487318353,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
EASY,Length of Last Word,64.8,0.005951317184931652,https://leetcode.com/problems/length-of-last-word,String
EASY,Palindrome Number,64.8,0.006087452988131395,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,String to Integer (atoi),64.8,0.002156720292680807,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,"Pow(x, n)",64.8,0.0039170812084024995,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Kth Largest Element in an Array,64.8,0.006924373833477489,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
EASY,Maximum Depth of Binary Tree,64.8,0.007852248762126052,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Course Schedule II,64.8,0.005608814973328658,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Permutations,64.8,0.008226139075724163,https://leetcode.com/problems/permutations,"Array, Backtracking"
EASY,Merge Sorted Array,64.8,0.005552798332463867,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
HARD,Median of Two Sorted Arrays,64.8,0.004736982829774125,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
HARD,Trapping Rain Water,64.8,0.00680285179808486,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
