Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Reverse Nodes in k-Group,100.0,0.006696565534408489,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,String Compression III,97.2,0.006714583319812832,https://leetcode.com/problems/string-compression-iii,String
HARD,Maximum Number of Ones,94.0,0.0070684390156278065,https://leetcode.com/problems/maximum-number-of-ones,"Math, Greedy, Sorting, Heap (Priority Queue)"
EASY,Reverse Linked List,90.5,0.008094208928167224,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Number of Islands,90.5,0.0064960546166425515,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Two Sum,90.5,0.005800958083748111,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,90.5,0.003977956371317374,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,LRU Cache,86.4,0.004786902323387324,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Reverse String,81.5,0.008119742792555094,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
EASY,Palindrome Number,75.6,0.006087452988131395,https://leetcode.com/problems/palindrome-number,Math
EASY,Valid Parentheses,75.6,0.00447256597772042,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Rotate Image,75.6,0.008057027271126817,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
EASY,Power of Two,75.6,0.005042138020665411,https://leetcode.com/problems/power-of-two,"Math, Bit Manipulation, Recursion"
EASY,Reverse Bits,75.6,0.006912627812860467,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
EASY,Rectangle Overlap,75.6,0.004698221857237491,https://leetcode.com/problems/rectangle-overlap,"Math, Geometry"
EASY,Majority Element,75.6,0.006648702481329474,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm"
EASY,Linked List Cycle,75.6,0.005490608233839896,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers, Floyd's Cycle Finding Algorithm"
HARD,Trapping Rain Water,75.6,0.00680285179808486,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Move Zeroes,75.6,0.006426546343542256,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,3Sum,75.6,0.003969316892474503,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Climbing Stairs,67.9,0.005428136494606733,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Implement Queue using Stacks,67.9,0.00702313533180416,https://leetcode.com/problems/implement-queue-using-stacks,"Stack, Design, Queue"
MEDIUM,Remove Nth Node From End of List,67.9,0.0052391542573777825,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
MEDIUM,String to Integer (atoi),67.9,0.002156720292680807,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Design Circular Queue,67.9,0.005521272128251863,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
MEDIUM,Count the Number of Fair Pairs,67.9,0.005258411286845087,https://leetcode.com/problems/count-the-number-of-fair-pairs,"Array, Two Pointers, Binary Search, Sorting"
HARD,Count Array Pairs Divisible by K,67.9,0.0031052952827015784,https://leetcode.com/problems/count-array-pairs-divisible-by-k,"Array, Hash Table, Math, Counting, Number Theory, Euclidean Algorithm, Greatest Common Divisor"
EASY,Middle of the Linked List,57.2,0.00822762217230467,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers"
EASY,Length of Last Word,57.2,0.005951317184931652,https://leetcode.com/problems/length-of-last-word,String
MEDIUM,"Pow(x, n)",57.2,0.0039170812084024995,https://leetcode.com/problems/powx-n,"Math, Recursion"
EASY,Maximum Depth of Binary Tree,57.2,0.007852248762126052,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Course Schedule II,57.2,0.005608814973328658,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
EASY,Is Subsequence,57.2,0.004934158487318353,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
MEDIUM,Permutations,57.2,0.008226139075724163,https://leetcode.com/problems/permutations,"Array, Backtracking"
EASY,Merge Sorted Array,57.2,0.005552798332463867,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Single Number,57.2,0.00781579900126354,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,Kth Largest Element in an Array,57.2,0.006924373833477489,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
HARD,Median of Two Sorted Arrays,57.2,0.004736982829774125,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Edit Distance,57.2,0.0061119495559549975,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
