Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Construct Target Array With Multiple Sums,100.0,0.0037200653677756518,https://leetcode.com/problems/construct-target-array-with-multiple-sums,"Array, Heap (Priority Queue)"
MEDIUM,Range Frequency Queries,97.4,0.004400797561478697,https://leetcode.com/problems/range-frequency-queries,"Array, Hash Table, Binary Search, Design, Segment Tree"
MEDIUM,Encode Number,94.5,0.007034659820282413,https://leetcode.com/problems/encode-number,"Math, String, Bit Manipulation"
EASY,1-bit and 2-bit Characters,94.5,0.004969540237070006,https://leetcode.com/problems/1-bit-and-2-bit-characters,Array
MEDIUM,Sort the Matrix Diagonally,94.5,0.008325742010545338,https://leetcode.com/problems/sort-the-matrix-diagonally,"Array, Sorting, Matrix"
EASY,Maximum Number of Words You Can Type,94.5,0.008293671488622959,https://leetcode.com/problems/maximum-number-of-words-you-can-type,"Hash Table, String"
MEDIUM,Exam Room,94.5,0.00437427773227569,https://leetcode.com/problems/exam-room,"Design, Heap (Priority Queue), Ordered Set"
EASY,Subtract the Product and Sum of Digits of an Integer,94.5,0.008660750749125406,https://leetcode.com/problems/subtract-the-product-and-sum-of-digits-of-an-integer,Math
EASY,Find Numbers with Even Number of Digits,94.5,0.00799489502965705,https://leetcode.com/problems/find-numbers-with-even-number-of-digits,"Array, Math"
EASY,Find the K-Beauty of a Number,94.5,0.006374445487808827,https://leetcode.com/problems/find-the-k-beauty-of-a-number,"Math, String, Sliding Window"
MEDIUM,3Sum With Multiplicity,94.5,0.004642843787628357,https://leetcode.com/problems/3sum-with-multiplicity,"Array, Hash Table, Two Pointers, Sorting, Counting"
EASY,Substrings of Size Three with Distinct Characters,94.5,0.007705652517087901,https://leetcode.com/problems/substrings-of-size-three-with-distinct-characters,"Hash Table, String, Sliding Window, Counting"
MEDIUM,Get Biggest Three Rhombus Sums in a Grid,94.5,0.007133823668378114,https://leetcode.com/problems/get-biggest-three-rhombus-sums-in-a-grid,"Array, Math, Sorting, Heap (Priority Queue), Matrix, Prefix Sum"
MEDIUM,Finding Pairs With a Certain Sum,94.5,0.006154399134007348,https://leetcode.com/problems/finding-pairs-with-a-certain-sum,"Array, Hash Table, Design"
MEDIUM,Insert Delete GetRandom O(1),91.3,0.005548623345898236,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
HARD,Text Justification,83.0,0.005189788306344752,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Serialize and Deserialize Binary Tree,77.6,0.006102835093558331,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
EASY,Longest Common Prefix,70.6,0.0048187214076762285,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Subarray Sum Equals K,60.7,0.0047980037826765186,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
