Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Top K Frequent Words,100.0,0.0060501317296213575,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
MEDIUM,Ways to Split Array Into Three Subarrays,97.5,0.0034545454545454545,https://leetcode.com/problems/ways-to-split-array-into-three-subarrays,"Array, Two Pointers, Binary Search, Prefix Sum"
MEDIUM,Restore the Array From Adjacent Pairs,97.5,0.007512462897809968,https://leetcode.com/problems/restore-the-array-from-adjacent-pairs,"Array, Hash Table, Depth-First Search"
MEDIUM,Brightest Position on Street,94.7,0.0060747727662493565,https://leetcode.com/problems/brightest-position-on-street,"Array, Sorting, Prefix Sum, Ordered Set"
MEDIUM,Count Good Meals,94.7,0.003309195301285995,https://leetcode.com/problems/count-good-meals,"Array, Hash Table"
MEDIUM,Number of Orders in the Backlog,94.7,0.005425569462167078,https://leetcode.com/problems/number-of-orders-in-the-backlog,"Array, Heap (Priority Queue), Simulation"
MEDIUM,Check if There is a Valid Path in a Grid,94.7,0.00645051940305559,https://leetcode.com/problems/check-if-there-is-a-valid-path-in-a-grid,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Capital Gain/Loss,94.7,0.008445847088835534,https://leetcode.com/problems/capital-gainloss,Database
EASY,Count the Number of Consistent Strings,94.7,0.008852757286049819,https://leetcode.com/problems/count-the-number-of-consistent-strings,"Array, Hash Table, String, Bit Manipulation, Counting"
HARD,Text Justification,91.5,0.005189788306344752,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Minesweeper,78.2,0.006890005675052404,https://leetcode.com/problems/minesweeper,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Top K Frequent Elements,71.3,0.006713898622251334,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Employee Importance,71.3,0.006971830607263069,https://leetcode.com/problems/employee-importance,"Array, Hash Table, Tree, Depth-First Search, Breadth-First Search"
EASY,Best Time to Buy and Sell Stock,61.7,0.0057251314421378555,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Defanging an IP Address,61.7,0.009013092952697015,https://leetcode.com/problems/defanging-an-ip-address,String
