Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Candy Crush,100.0,0.007762955697237208,https://leetcode.com/problems/candy-crush,"Array, Two Pointers, Matrix, Simulation"
MEDIUM,Reorganize String,94.4,0.0057449421740649355,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
HARD,Number of Ways to Wear Different Hats to Each Other,93.7,0.004663038042851098,https://leetcode.com/problems/number-of-ways-to-wear-different-hats-to-each-other,"Array, Dynamic Programming, Bit Manipulation, Bitmask, Bipartite Graph, Matching (Graph), Perfect Matching"
HARD,Text Justification,90.6,0.005189788306344752,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Task Scheduler,86.8,0.006363492940458064,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Maximize Distance to Closest Person,85.8,0.004997681957791178,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
MEDIUM,Course Schedule II,84.6,0.005608814973328658,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Design Hit Counter,76.3,0.006974272516303686,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
HARD,Integer to English Words,74.5,0.0035162830678028894,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
HARD,Design Search Autocomplete System,72.6,0.0050057343632813976,https://leetcode.com/problems/design-search-autocomplete-system,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Rotate Image,70.4,0.008057027271126817,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Minimum Operations to Write the Letter Y on a Grid,68.0,0.006479741732713856,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,"Array, Hash Table, Matrix, Counting"
EASY,Valid Parentheses,65.3,0.00447256597772042,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Implement Trie (Prefix Tree),65.3,0.006991502916254084,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Minimum Absolute Difference Between Elements With Constraint,65.3,0.0038007509255288422,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint,"Array, Binary Search, Ordered Set"
MEDIUM,Number of Black Blocks,65.3,0.004217931337705639,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration"
MEDIUM,Course Schedule,65.3,0.005204039312546965,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
MEDIUM,Find the Length of the Longest Common Prefix,62.1,0.006226152649412633,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
HARD,Block Placement Queries,58.4,0.004141530323533029,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree, Ordered Set"
HARD,Subarrays with K Different Integers,58.4,0.006886146469618253,https://leetcode.com/problems/subarrays-with-k-different-integers,"Array, Hash Table, Sliding Window, Counting"
MEDIUM,Number of Adjacent Elements With the Same Color,58.4,0.005979279970638284,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color,Array
MEDIUM,Rotating the Box,58.4,0.008246603958014232,https://leetcode.com/problems/rotating-the-box,"Array, Two Pointers, Matrix"
MEDIUM,Brightest Position on Street,58.4,0.0060747727662493565,https://leetcode.com/problems/brightest-position-on-street,"Array, Sorting, Prefix Sum, Ordered Set"
EASY,Logger Rate Limiter,58.4,0.007688327747225928,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
MEDIUM,Merge Intervals,53.8,0.005257655719437011,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
EASY,Two Sum,53.8,0.005800958083748111,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Number of Flowers in Full Bloom,53.8,0.00581026633338637,https://leetcode.com/problems/number-of-flowers-in-full-bloom,"Array, Hash Table, Binary Search, Sorting, Prefix Sum, Ordered Set"
HARD,Largest Rectangle in Histogram,53.8,0.005066388914481123,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack, Range Minimum/Maximum Query"
MEDIUM,Spiral Matrix,53.8,0.005762719105029598,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
HARD,Trapping Rain Water,53.8,0.00680285179808486,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Longest Common Prefix,47.9,0.0048187214076762285,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Number of Recent Calls,47.9,0.007889265837011692,https://leetcode.com/problems/number-of-recent-calls,"Design, Queue, Data Stream"
MEDIUM,Count the Number of Good Subarrays,47.9,0.0065732672397810325,https://leetcode.com/problems/count-the-number-of-good-subarrays,"Array, Hash Table, Sliding Window"
HARD,Length of Longest V-Shaped Diagonal Segment,47.9,0.005592548076923077,https://leetcode.com/problems/length-of-longest-v-shaped-diagonal-segment,"Array, Dynamic Programming, Memoization, Matrix"
MEDIUM,Design Browser History,39.7,0.007844319892190836,https://leetcode.com/problems/design-browser-history,"Array, Linked List, Stack, Design, Doubly-Linked List, Data Stream"
HARD,Employee Free Time,39.7,0.007297666950781978,https://leetcode.com/problems/employee-free-time,"Array, Sweep Line, Sorting, Heap (Priority Queue)"
MEDIUM,Rotting Oranges,39.7,0.005927625921694538,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Longest Consecutive Sequence,39.7,0.004720840430461027,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Longest Substring Without Repeating Characters,39.7,0.003977956371317374,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Image Smoother,39.7,0.006952791283718714,https://leetcode.com/problems/image-smoother,"Array, Matrix"
HARD,Basic Calculator IV,39.7,0.004986395532006301,https://leetcode.com/problems/basic-calculator-iv,"Hash Table, Math, String, Stack, Recursion"
MEDIUM,Insert Delete GetRandom O(1),39.7,0.005548623345898236,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Restore the Array From Adjacent Pairs,39.7,0.007512462897809968,https://leetcode.com/problems/restore-the-array-from-adjacent-pairs,"Array, Hash Table, Depth-First Search"
MEDIUM,Count Nice Pairs in an Array,39.7,0.004843602126593554,https://leetcode.com/problems/count-nice-pairs-in-an-array,"Array, Hash Table, Math, Counting"
MEDIUM,Minimum Number of Frogs Croaking,39.7,0.005128257649765228,https://leetcode.com/problems/minimum-number-of-frogs-croaking,"String, Counting"
MEDIUM,Random Pick with Weight,39.7,0.0049211970223146575,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
HARD,Sliding Window Maximum,39.7,0.004910892418975983,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, Range Minimum/Maximum Query"
MEDIUM,Design Memory Allocator,39.7,0.005055771602010812,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
