Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximum Points After Enemy Battles,100.0,0.003341444495212997,https://leetcode.com/problems/maximum-points-after-enemy-battles,"Array, Greedy"
MEDIUM,Find Longest Special Substring That Occurs Thrice II,61.9,0.003943453799942787,https://leetcode.com/problems/find-longest-special-substring-that-occurs-thrice-ii,"Hash Table, String, Binary Search, Sliding Window, Counting"
HARD,Maximize Subarray Sum After Removing All Occurrences of One Element,61.9,0.0022931526390870187,https://leetcode.com/problems/maximize-subarray-sum-after-removing-all-occurrences-of-one-element,"Array, Hash Table, Divide and Conquer, Dynamic Programming, Segment Tree, Prefix Sum"
HARD,Manhattan Distances of All Arrangements of Pieces,61.9,0.0035981878376023695,https://leetcode.com/problems/manhattan-distances-of-all-arrangements-of-pieces,"Math, Combinatorics"
HARD,Find X Value of Array II,61.9,0.0031822012472610822,https://leetcode.com/problems/find-x-value-of-array-ii,"Array, Math, Segment Tree"
MEDIUM,Find X Value of Array I,61.9,0.0037888218685831615,https://leetcode.com/problems/find-x-value-of-array-i,"Array, Math, Dynamic Programming"
MEDIUM,Count Lattice Points Inside a Circle,53.5,0.005704026630168466,https://leetcode.com/problems/count-lattice-points-inside-a-circle,"Array, Hash Table, Math, Geometry, Enumeration"
MEDIUM,LRU Cache,50.6,0.004786902323387324,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Web Crawler Multithreaded,46.9,0.005133506440324623,https://leetcode.com/problems/web-crawler-multithreaded,"Depth-First Search, Breadth-First Search, Concurrency"
HARD,Remove Invalid Parentheses,46.9,0.005009524180511462,https://leetcode.com/problems/remove-invalid-parentheses,"String, Backtracking, Breadth-First Search"
MEDIUM,Snapshot Array,46.9,0.0036804428081782816,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design, Persistent Data Structure"
MEDIUM,Next Permutation,42.2,0.0045958965548336264,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
HARD,Stamping the Grid,42.2,0.0035740228582852957,https://leetcode.com/problems/stamping-the-grid,"Array, Greedy, Matrix, Prefix Sum"
MEDIUM,Web Crawler,42.2,0.006871576814803473,https://leetcode.com/problems/web-crawler,"String, Depth-First Search, Breadth-First Search, Interactive"
MEDIUM,Task Scheduler II,42.2,0.005498706473043259,https://leetcode.com/problems/task-scheduler-ii,"Array, Hash Table, Simulation"
HARD,Scramble String,35.6,0.004536447889003306,https://leetcode.com/problems/scramble-string,"String, Dynamic Programming"
MEDIUM,Insert Delete GetRandom O(1),35.6,0.005548623345898236,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Task Scheduler,35.6,0.006363492940458064,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,4Sum,35.6,0.004145649995379637,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Design Memory Allocator,35.6,0.005055771602010812,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
MEDIUM,Design Circular Queue,35.6,0.005521272128251863,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
HARD,Special Binary String,35.6,0.007943574057109139,https://leetcode.com/problems/special-binary-string,"String, Divide and Conquer, Sorting"
MEDIUM,3Sum,35.6,0.003969316892474503,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Range Module,35.6,0.0045412920182597875,https://leetcode.com/problems/range-module,"Design, Segment Tree, Ordered Set"
