Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximum Points After Enemy Battles,100.0,0.003341444495212997,https://leetcode.com/problems/maximum-points-after-enemy-battles,"Array, Greedy"
HARD,Maximize Subarray Sum After Removing All Occurrences of One Element,70.7,0.0022931526390870187,https://leetcode.com/problems/maximize-subarray-sum-after-removing-all-occurrences-of-one-element,"Array, Hash Table, Divide and Conquer, Dynamic Programming, Segment Tree, Prefix Sum"
HARD,Manhattan Distances of All Arrangements of Pieces,70.7,0.0035981878376023695,https://leetcode.com/problems/manhattan-distances-of-all-arrangements-of-pieces,"Math, Combinatorics"
MEDIUM,Count Lattice Points Inside a Circle,67.6,0.005704026630168466,https://leetcode.com/problems/count-lattice-points-inside-a-circle,"Array, Hash Table, Math, Geometry, Enumeration"
HARD,Stamping the Grid,62.4,0.0035740228582852957,https://leetcode.com/problems/stamping-the-grid,"Array, Greedy, Matrix, Prefix Sum"
MEDIUM,Find Longest Special Substring That Occurs Thrice II,60.8,0.003943453799942787,https://leetcode.com/problems/find-longest-special-substring-that-occurs-thrice-ii,"Hash Table, String, Binary Search, Sliding Window, Counting"
HARD,Find X Value of Array II,60.8,0.0031822012472610822,https://leetcode.com/problems/find-x-value-of-array-ii,"Array, Math, Segment Tree"
MEDIUM,Find X Value of Array I,60.8,0.0037888218685831615,https://leetcode.com/problems/find-x-value-of-array-i,"Array, Math, Dynamic Programming"
MEDIUM,Alice and Bob Playing Flower Game,59.0,0.005990653169794592,https://leetcode.com/problems/alice-and-bob-playing-flower-game,Math
MEDIUM,Candy Crush,59.0,0.007762955697237208,https://leetcode.com/problems/candy-crush,"Array, Two Pointers, Matrix, Simulation"
EASY,Distribute Candies Among Children I,57.0,0.007674995691883508,https://leetcode.com/problems/distribute-candies-among-children-i,"Math, Combinatorics, Enumeration"
MEDIUM,Distribute Candies Among Children II,57.0,0.005564238069997744,https://leetcode.com/problems/distribute-candies-among-children-ii,"Math, Combinatorics, Enumeration"
HARD,Distribute Candies Among Children III,57.0,0.005696038504257682,https://leetcode.com/problems/distribute-candies-among-children-iii,"Math, Combinatorics"
HARD,Find the Sum of Subsequence Powers,57.0,0.002520221513676791,https://leetcode.com/problems/find-the-sum-of-subsequence-powers,"Array, Dynamic Programming, Sorting"
EASY,Existence of a Substring in a String and Its Reverse,57.0,0.006628856778100391,https://leetcode.com/problems/existence-of-a-substring-in-a-string-and-its-reverse,"Hash Table, String"
MEDIUM,Random Pick with Weight,57.0,0.0049211970223146575,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,LRU Cache,49.1,0.004786902323387324,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Web Crawler Multithreaded,45.4,0.005133506440324623,https://leetcode.com/problems/web-crawler-multithreaded,"Depth-First Search, Breadth-First Search, Concurrency"
HARD,Remove Invalid Parentheses,45.4,0.005009524180511462,https://leetcode.com/problems/remove-invalid-parentheses,"String, Backtracking, Breadth-First Search"
MEDIUM,Snapshot Array,45.4,0.0036804428081782816,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design, Persistent Data Structure"
HARD,Minimum Number of Moves to Make Palindrome,45.4,0.005303255707501287,https://leetcode.com/problems/minimum-number-of-moves-to-make-palindrome,"Two Pointers, String, Greedy, Binary Indexed Tree"
MEDIUM,Next Permutation,40.5,0.0045958965548336264,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Web Crawler,40.5,0.006871576814803473,https://leetcode.com/problems/web-crawler,"String, Depth-First Search, Breadth-First Search, Interactive"
MEDIUM,Task Scheduler II,40.5,0.005498706473043259,https://leetcode.com/problems/task-scheduler-ii,"Array, Hash Table, Simulation"
MEDIUM,4Sum,33.8,0.004145649995379637,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
HARD,Scramble String,33.8,0.004536447889003306,https://leetcode.com/problems/scramble-string,"String, Dynamic Programming"
MEDIUM,Task Scheduler,33.8,0.006363492940458064,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Insert Delete GetRandom O(1),33.8,0.005548623345898236,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Design Memory Allocator,33.8,0.005055771602010812,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
MEDIUM,Design Circular Queue,33.8,0.005521272128251863,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
HARD,Special Binary String,33.8,0.007943574057109139,https://leetcode.com/problems/special-binary-string,"String, Divide and Conquer, Sorting"
MEDIUM,Count Zero Request Servers,33.8,0.003642152010487172,https://leetcode.com/problems/count-zero-request-servers,"Array, Hash Table, Sliding Window, Sorting"
MEDIUM,Paint Fence,33.8,0.0048497922245821405,https://leetcode.com/problems/paint-fence,Dynamic Programming
MEDIUM,Smallest String With Swaps,33.8,0.0060931572097144915,https://leetcode.com/problems/smallest-string-with-swaps,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union-Find, Sorting"
MEDIUM,3Sum,33.8,0.003969316892474503,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Range Module,33.8,0.0045412920182597875,https://leetcode.com/problems/range-module,"Design, Segment Tree, Ordered Set"
