Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.005800958083748111,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Maximum Path Quality of a Graph,91.8,0.006280315069439646,https://leetcode.com/problems/maximum-path-quality-of-a-graph,"Array, Backtracking, Graph Theory"
HARD,Count the Number of Infection Sequences,91.8,0.0038393453573814297,https://leetcode.com/problems/count-the-number-of-infection-sequences,"Array, Math, Combinatorics, Fermat's Little Theorem"
HARD,Maximum Students Taking Exam,91.8,0.005436095780278997,https://leetcode.com/problems/maximum-students-taking-exam,"Array, Dynamic Programming, Bit Manipulation, Matrix, Bitmask, Maximum Flow, Maximum Matching, Bipartite Graph, Edmonds–Karp Algorithm, MPM Algorithm, Push-Relabel Algorithm, Minimum Cut, Matching (Graph), Flow Network, Dinic's Algorithm"
MEDIUM,Movie Rating,91.8,0.004416327385901591,https://leetcode.com/problems/movie-rating,Database
HARD,Count Increasing Quadruplets,91.8,0.0034517766497461928,https://leetcode.com/problems/count-increasing-quadruplets,"Array, Dynamic Programming, Binary Indexed Tree, Enumeration, Prefix Sum"
MEDIUM,Container With Most Water,88.4,0.006064829793750836,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Longest Common Prefix,84.4,0.0048187214076762285,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Valid Parentheses,84.4,0.00447256597772042,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Best Time to Buy and Sell Stock,79.7,0.0057251314421378555,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Number of Islands,79.7,0.0064960546166425515,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Longest Palindromic Substring,79.7,0.003847113809785829,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Merge Intervals,79.7,0.005257655719437011,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Maximum Subarray,74.0,0.005373543061232394,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Palindrome Number,74.0,0.006087452988131395,https://leetcode.com/problems/palindrome-number,Math
EASY,Reverse Linked List,66.6,0.008094208928167224,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Kth Largest Element in an Array,66.6,0.006924373833477489,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
EASY,Valid Palindrome,66.6,0.005407047837504848,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,LRU Cache,66.6,0.004786902323387324,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Group Anagrams,66.6,0.00731290377009171,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Move Zeroes,66.6,0.006426546343542256,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Longest Substring Without Repeating Characters,66.6,0.003977956371317374,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Linked List Cycle,66.6,0.005490608233839896,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers, Floyd's Cycle Finding Algorithm"
MEDIUM,Search a 2D Matrix,66.6,0.005438020304559532,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Maximal Square,56.2,0.0050746790190931,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
EASY,Valid Perfect Square,56.2,0.004513252926710021,https://leetcode.com/problems/valid-perfect-square,"Math, Binary Search"
HARD,Trapping Rain Water,56.2,0.00680285179808486,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Leftmost Column with at Least a One,56.2,0.005526771585898811,https://leetcode.com/problems/leftmost-column-with-at-least-a-one,"Array, Binary Search, Matrix, Interactive"
MEDIUM,Binary Search Tree to Greater Sum Tree,56.2,0.008840986980805932,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Coin Change,56.2,0.004897339590272714,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
HARD,Candy,56.2,0.004904719665971875,https://leetcode.com/problems/candy,"Array, Greedy"
EASY,Same Tree,56.2,0.006778339683544493,https://leetcode.com/problems/same-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Search in Rotated Sorted Array,56.2,0.004546231841273633,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Count Primes,56.2,0.003637081121498573,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory, Primality Test, Sieve Theory, Prime Number Sieve"
MEDIUM,Add Two Numbers,56.2,0.004913310143157039,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Implement Queue using Stacks,56.2,0.00702313533180416,https://leetcode.com/problems/implement-queue-using-stacks,"Stack, Design, Queue"
MEDIUM,Lowest Common Ancestor of a Binary Tree,56.2,0.006995199131562652,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree, Binary Lifting, Lowest Common Ancestor"
EASY,Palindrome Linked List,56.2,0.005860792354938389,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
EASY,Ransom Note,56.2,0.006631442890735718,https://leetcode.com/problems/ransom-note,"Hash Table, String, Counting"
MEDIUM,Daily Temperatures,56.2,0.00690569702661743,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
HARD,Minimum Window Substring,56.2,0.004825509589295219,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
EASY,Binary Search,56.2,0.0061302881000796184,https://leetcode.com/problems/binary-search,"Array, Binary Search"
