Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Text Justification,100.0,0.005189788306344752,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Number of Black Blocks,87.1,0.004217931337705639,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration"
MEDIUM,Rotate Image,87.1,0.008057027271126817,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Restore the Array From Adjacent Pairs,87.1,0.007512462897809968,https://leetcode.com/problems/restore-the-array-from-adjacent-pairs,"Array, Hash Table, Depth-First Search"
MEDIUM,Spiral Matrix,76.9,0.005762719105029598,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
HARD,Block Placement Queries,76.9,0.004141530323533029,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree, Ordered Set"
MEDIUM,Rotating the Box,76.9,0.008246603958014232,https://leetcode.com/problems/rotating-the-box,"Array, Two Pointers, Matrix"
MEDIUM,Minimum Absolute Difference Between Elements With Constraint,76.9,0.0038007509255288422,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint,"Array, Binary Search, Ordered Set"
MEDIUM,Find the Length of the Longest Common Prefix,76.9,0.006226152649412633,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
MEDIUM,Design Memory Allocator,76.9,0.005055771602010812,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
