Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Text Justification,100.0,0.005189788306344752,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Block Placement Queries,86.7,0.004141530323533029,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree, Ordered Set"
MEDIUM,Number of Black Blocks,86.7,0.004217931337705639,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration"
MEDIUM,Rotate Image,86.7,0.008057027271126817,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Restore the Array From Adjacent Pairs,86.7,0.007512462897809968,https://leetcode.com/problems/restore-the-array-from-adjacent-pairs,"Array, Hash Table, Depth-First Search"
MEDIUM,Find the Length of the Longest Common Prefix,86.7,0.006226152649412633,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
MEDIUM,Minimum Absolute Difference Between Elements With Constraint,86.7,0.0038007509255288422,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint,"Array, Binary Search, Ordered Set"
MEDIUM,Spiral Matrix,76.2,0.005762719105029598,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Rotating the Box,76.2,0.008246603958014232,https://leetcode.com/problems/rotating-the-box,"Array, Two Pointers, Matrix"
MEDIUM,Design Memory Allocator,76.2,0.005055771602010812,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
HARD,Find Median from Data Stream,76.2,0.005487695875130243,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
