Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Minimum Operations to Reduce an Integer to 0,100.0,0.006317560635285427,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,"Dynamic Programming, Greedy, Bit Manipulation"
MEDIUM,String Compression,92.6,0.006060163705313572,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Time Needed to Rearrange a Binary String,90.8,0.005356595004235639,https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string,"String, Dynamic Programming, Simulation"
MEDIUM,Maximum Palindromes After Operations,90.8,0.0047082602094137595,https://leetcode.com/problems/maximum-palindromes-after-operations,"Array, Hash Table, String, Greedy, Sorting, Counting"
MEDIUM,Minimum Removals to Balance Array,78.5,0.004783540243788665,https://leetcode.com/problems/minimum-removals-to-balance-array,"Array, Binary Search, Sliding Window, Sorting"
HARD,LFU Cache,75.0,0.005002959336524059,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Course Schedule II,70.9,0.005608814973328658,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Maximum Team Size with Overlapping Intervals,70.9,0.004338624338624339,https://leetcode.com/problems/maximum-team-size-with-overlapping-intervals,
MEDIUM,Merge Intervals,70.9,0.005257655719437011,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
EASY,Maximum Product of Three Numbers,65.8,0.004822237990077638,https://leetcode.com/problems/maximum-product-of-three-numbers,"Array, Math, Sorting"
HARD,Minimum Replacements to Sort the Array,65.8,0.005310271728656774,https://leetcode.com/problems/minimum-replacements-to-sort-the-array,"Array, Math, Greedy"
HARD,Strange Printer,59.3,0.0060980229188425834,https://leetcode.com/problems/strange-printer,"String, Dynamic Programming"
MEDIUM,Generate Parentheses,59.3,0.007906619685010212,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
MEDIUM,Remove Stones to Minimize the Total,59.3,0.006609895855117319,https://leetcode.com/problems/remove-stones-to-minimize-the-total,"Array, Greedy, Heap (Priority Queue)"
HARD,Minimum Edge Reversals So Every Node Is Reachable,59.3,0.005979537703675635,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory"
MEDIUM,LRU Cache,50.2,0.004786902323387324,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Subarray Sum Equals K,50.2,0.0047980037826765186,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Angle Between Hands of a Clock,50.2,0.006987956660087807,https://leetcode.com/problems/angle-between-hands-of-a-clock,Math
MEDIUM,Remove All Adjacent Duplicates in String II,50.2,0.00617572128226088,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
HARD,Vertical Order Traversal of a Binary Tree,50.2,0.005452702605905191,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
MEDIUM,Fruit Into Baskets,50.2,0.005215393070292332,https://leetcode.com/problems/fruit-into-baskets,"Array, Hash Table, Sliding Window"
HARD,Optimal Account Balancing,50.2,0.005061702949890506,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,Asteroid Collision,50.2,0.004876330470374295,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
HARD,Partition Array Into Two Arrays to Minimize Sum Difference,50.2,0.002437989731536651,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference,"Array, Two Pointers, Binary Search, Dynamic Programming, Bit Manipulation, Meet in the Middle, Sorting, Ordered Set, Bitmask"
MEDIUM,Amount of Time for Binary Tree to Be Infected,50.2,0.006587239023458029,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Meeting Rooms II,50.2,0.005277670781628514,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
HARD,Merge k Sorted Lists,50.2,0.006029401193093561,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, Tournament Sort"
MEDIUM,Longest Consecutive Sequence,50.2,0.004720840430461027,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
EASY,Count Vowel Substrings of a String,50.2,0.0073424036281179135,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
MEDIUM,Design Twitter,50.2,0.004537919511309969,https://leetcode.com/problems/design-twitter,"Hash Table, Linked List, Design, Heap (Priority Queue)"
MEDIUM,Palindrome Partitioning,50.2,0.007450510034044455,https://leetcode.com/problems/palindrome-partitioning,"String, Dynamic Programming, Backtracking"
MEDIUM,Rotting Oranges,50.2,0.005927625921694538,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
