Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004786895677649352,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,97.4,0.003977959161405498,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Lexicographically Smallest String After Operations With Constraint,91.5,0.006228987672768024,https://leetcode.com/problems/lexicographically-smallest-string-after-operations-with-constraint,"String, Greedy"
HARD,Number of Distinct Roll Sequences,91.5,0.0058299932537005435,https://leetcode.com/problems/number-of-distinct-roll-sequences,"Dynamic Programming, Memoization"
HARD,Find Minimum Diameter After Merging Two Trees,91.5,0.005674410024265989,https://leetcode.com/problems/find-minimum-diameter-after-merging-two-trees,"Tree, Depth-First Search, Breadth-First Search, Graph Theory"
HARD,Maximum Score with Co-Prime Element,91.5,0.002872841444270016,https://leetcode.com/problems/maximum-score-with-co-prime-element,"Array, Hash Table, Math, Combinatorics, Enumeration, Number Theory"
HARD,Trapping Rain Water,87.9,0.006802853937837948,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Generate Parentheses,83.8,0.00790661817963353,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
MEDIUM,Number of Islands,83.8,0.006496056761377224,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,String Compression,83.8,0.00606016785784677,https://leetcode.com/problems/string-compression,"Two Pointers, String"
HARD,First Missing Positive,78.9,0.004354296432160062,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Container With Most Water,72.9,0.006064830777716178,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Valid Parentheses,72.9,0.004472567007912034,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
